perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
24,-2.3220403373781355,1.0922444687250907,3.414284806103226,-1.4128492909375734,-1.9009745109582477,-0.0461797775041304,-0.011908512857684215,49,45,40,34,True,True,0.9165142500889311,0.8953744529990616
25,-5.430652606499377,2.263899049270131,7.694551655769508,-1.8348185844199616,-1.9390695203892305,-0.05853208515572245,-0.023227076828599823,49,46,41,35,True,True,0.9165672605805912,0.8955753145666093
26,-2.283220870476856,1.6357582479049466,3.9189791183818024,-1.3324003966938003,-1.49905492496768,-0.04383890949780698,-0.023025763422151225,49,45,40,35,True,True,0.9165492083504879,0.8954450535762003
27,-2.3781242130790843,0.809541011886288,3.187665224965372,-1.4135287797805596,-1.7223588468777196,-0.043964677708718994,-0.013547971754016537,49,45,40,34,True,True,0.9162408458306771,0.8953218671538874
28,-2.4137768689297765,0.6178852730504385,3.031662141980215,-1.6180183841649654,-1.6632163987835014,-0.046032610835951615,-0.03447558663651778,49,47,40,36,True,True,0.9163969837754411,0.8955509946624756
29,-5.393992561212048,2.4992618506681255,7.893254411880174,-1.2994935018362574,-1.7181082243973411,-0.058319223934121235,0.002667059303377743,49,45,41,33,True,True,0.9164307331033169,0.8948987848920015
30,-5.387495624623414,0.32549834488175966,5.712993969505174,-1.6355771113375106,-1.3493677416697547,-0.05884664629231575,-0.03544945309684592,48,44,41,36,True,True,0.9165068954782859,0.8954605062362697
31,-5.5540513289461595,2.3208950111958377,7.874946340141998,-1.4663462166379482,-2.038299282885431,-0.05755114302522847,-0.01502328624359816,49,45,41,34,True,True,0.916372756592246,0.8948962334650227
32,-5.1922767559781144,0.7399985764669884,5.932275332445103,-1.475193717284179,-1.8383240459766692,-0.05803307830607064,-0.021413784782478726,49,46,41,35,True,True,0.9164363087154804,0.895402619740022
33,-2.5966471516949277,0.6566823059398587,3.2533294576347864,-1.3960709415166972,-1.5898870767143913,-0.058416382269840576,-0.013282467391175315,49,44,41,34,True,True,0.9165720697750279,0.8949521801488225
34,-5.357619527565864,0.5136253138098815,5.871244841375745,-1.4363308048155554,-1.6923521395028784,-0.05760725282215038,-0.011534913308227519,49,45,41,34,True,True,0.9161381556786381,0.8950954700905512
35,-2.437143834075524,2.140180846684907,4.57732468076043,-1.2978145435680488,-1.8123126757389973,-0.04536631724469578,-0.020237768555913093,49,46,40,35,True,True,0.9165192105700779,0.8949867918032266
36,-5.486186495734743,0.4593555515013451,5.9455420472360885,-1.5552435085698035,-1.5043117603714407,-0.05706804542875374,-0.032321256223619345,49,45,41,36,True,True,0.9163423655845506,0.8954289626146622
