va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Edmonton-Castle Downs|027,Edmonton-Castle Downs,Edmonton-Castle Downs,Edmonton-Castledowns,1,99.000000,87.500000,8.000000,-0.000088,-0.000088,0.000000,Edmonton
Lacombe-Ponoka|016,Lacombe-Ponoka,Wetaskiwin-Ponoka-Maskwacis,Red Deer-Blackfalds,1,35.000000,186.000000,21.500000,-0.000030,-0.000017,0.000012,Rest of Alberta
Athabasca-Barrhead-Westlock|044,Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,Barrhead-Westlock-Athabasca,0,70.000000,278.500000,0.000000,-0.000032,-0.000031,0.000002,Rest of Alberta
Calgary-Peigan|006,Calgary-Peigan,Calgary-McKenzie,Calgary-Peigan-Chestermere,1,105.666667,146.166667,5.166667,0.000089,0.000094,0.000006,Calgary
Calgary-Peigan|004,Calgary-Peigan,Calgary-McKenzie,Calgary-Peigan-Chestermere,1,105.666667,146.166667,5.166667,0.000089,0.000094,0.000006,Calgary
Camrose|058,Camrose,Lloydminster-Wainwright,Camrose,1,23.000000,169.000000,25.500000,-0.000050,-0.000034,0.000015,Rest of Alberta
Brooks-Medicine Hat|039,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks,0,73.833333,175.166667,12.333333,0.000024,0.000024,0.000000,Rest of Alberta
Calgary-Edgemont|020,Calgary-Edgemont,Calgary-Edgemont,Calgary-Edgemont,0,105.333333,136.333333,5.000000,0.000116,0.000111,-0.000005,Calgary
Athabasca-Barrhead-Westlock|004,Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,Lac Ste Anne-Parkland,1,44.000000,186.500000,0.000000,-0.000025,-0.000020,0.000005,Rest of Alberta
Edmonton-West Henday|049,Edmonton-West Henday,Edmonton-West Henday,Edmonton-West Henday,0,104.888889,75.222222,6.888889,-0.000069,-0.000068,0.000000,Edmonton
