map,name,area_km2,perimeter_km,polsby_popper,pp_percentile_rank
majority_2026,Calgary-Nose Creek,27.6023,27.5911,0.455635,74.16
majority_2026,Calgary-Shaw,37.4886,29.7018,0.534003,94.38
majority_2026,Calgary-South East,68.6910,40.8696,0.516783,89.89
majority_2026,Calgary-Symons Valley,10.7567,22.0863,0.277104,42.70
majority_2026,Calgary-Varsity,23.9005,28.4921,0.369970,55.06
majority_2026,Calgary-West-Elbow Valley,544.3423,145.0943,0.324923,50.56
majority_2026,Edmonton-Beaumont,76.5656,32.8744,0.890283,98.88
majority_2026,Edmonton-Beverly-Clareview,0.0004,0.3917,0.030660,17.98
majority_2026,Edmonton-Castle Downs,39.6181,30.6642,0.529470,93.26
majority_2026,Edmonton-City Centre,30.1498,33.7012,0.333583,51.69
majority_2026,Edmonton-Decore,2.3960,10.4007,0.278334,44.94
majority_2026,Edmonton-Ellerslie,50.8405,36.9506,0.467925,78.65
majority_2026,Edmonton-Enoch,57.9208,43.0722,0.392329,58.43
majority_2026,Edmonton-Glenora-Riverview,0.0000,1.4131,0.000000,3.37
majority_2026,Edmonton-Gold Bar,1.2319,7.5567,0.271097,41.57
majority_2026,Edmonton-Highlands-Norwood,16.6603,20.5659,0.494990,86.52
majority_2026,Edmonton-Manning,0.0000,0.0651,0.032697,19.10
majority_2026,Edmonton-McClung,1.7243,9.3854,0.245993,32.58
majority_2026,Edmonton-Meadows,18.6217,21.8010,0.492351,85.39
majority_2026,Edmonton-Mill Woods,26.4709,22.1925,0.675408,96.63
majority_2026,Edmonton-North West,0.0000,0.3471,0.000000,1.12
majority_2026,Edmonton-Rutherford,31.5187,57.5089,0.119759,22.47
majority_2026,Edmonton-South,0.0000,0.3233,0.000000,0.00
majority_2026,Edmonton-Strathcona,15.4766,27.6084,0.255155,35.96
majority_2026,Edmonton-West Henday,0.0000,0.1742,0.000000,2.25
majority_2026,Edmonton-Whitemud,19.2139,31.4223,0.244541,31.46
majority_2026,Edmonton-Windermere,0.0000,0.0880,0.000189,14.61
majority_2026,Airdrie-East,711.6256,142.2287,0.442066,69.66
majority_2026,Airdrie-West,104.4245,61.1491,0.350939,52.81
majority_2026,Barrhead-Westlock-Athabasca,23708.8746,1061.7556,0.264284,38.20
majority_2026,Camrose,10635.1508,706.5742,0.267694,40.45
majority_2026,Canmore-Banff,15331.8005,1219.2663,0.129600,24.72
majority_2026,Central Peace-Notley,47325.1356,1500.7607,0.264046,37.08
majority_2026,Chestermere-Strathmore,1581.0335,193.7144,0.529453,92.13
majority_2026,Cochrane-Springbank,648.6278,136.1777,0.439535,67.42
majority_2026,Cold Lake-Bonnyville-St. Paul,15905.8504,706.7799,0.400127,61.80
majority_2026,Drumheller-Stettler,36538.5654,1075.3766,0.397045,60.67
majority_2026,Fort McMurray-Lac La Biche,32376.0100,1045.3900,0.372286,56.18
majority_2026,Fort McMurray-Wood Buffalo,86468.7930,1519.3518,0.470709,80.90
majority_2026,Fort Saskatchewan-Vegreville,9115.5571,556.9727,0.369254,53.93
majority_2026,Grande Prairie,110.2323,59.1748,0.395591,59.55
majority_2026,Grande Prairie-Wapiti,8360.1413,571.5377,0.321613,49.44
majority_2026,High River-Vulcan-Siksika,1.7273,5.2220,0.795973,97.75
majority_2026,Lacombe-Clearwater,0.0111,1.5339,0.059182,20.22
majority_2026,Leduc-Devon,142.9438,63.8706,0.440325,68.54
majority_2026,Lesser Slave Lake,69545.8800,1192.0697,0.615004,95.51
majority_2026,Lethbridge-East,0.0000,0.3281,0.000314,15.73
majority_2026,Lethbridge-West,74.6052,48.2886,0.402059,62.92
majority_2026,Livingstone-Macleod,14144.8521,763.0852,0.305255,47.19
majority_2026,Lloydminster-Wainwright,10088.9527,527.2286,0.456098,75.28
majority_2026,Medicine Hat-Brooks,13747.8924,752.9433,0.304734,46.07
majority_2026,Medicine Hat-Cypress,6116.1776,411.5504,0.453779,73.03
majority_2026,Mountain View-Kneehill,10488.8884,584.7095,0.385531,57.30
majority_2026,Okotoks-Diamond Valley,628.5207,127.2188,0.488008,84.27
majority_2026,Peace River,109210.7396,1693.4242,0.478568,82.02
majority_2026,Red Deer-North,72.4210,44.3236,0.463239,77.53
majority_2026,Red Deer-South,0.0000,0.4881,0.000023,10.11
majority_2026,Sherwood Park,62.6898,43.8233,0.410201,64.04
majority_2026,Spruce Grove,68.4269,43.7891,0.448441,71.91
majority_2026,St. Albert,37.9300,33.7819,0.417662,65.17
majority_2026,St. Albert-Sturgeon,0.0000,0.0436,0.000079,11.24
majority_2026,Stony Plain-Drayton Valley,0.0000,0.0468,0.000009,7.87
majority_2026,Strathcona-Sherwood Park,0.0023,0.4824,0.123944,23.60
majority_2026,Sylvan Lake-Innisfail,3604.7867,411.6863,0.267274,39.33
majority_2026,Taber-Cardston,14981.5270,650.1142,0.445437,70.79
majority_2026,West Yellowhead,47091.8656,1633.2280,0.221851,29.21
majority_2026,Wetaskiwin-Ponoka-Maskwacis,0.0000,0.0567,0.020700,16.85
minority_2026,Calgary-Acadia,26.7835,28.5151,0.413929,56.18
minority_2026,Calgary-Airdrie,1.0423,8.6344,0.175684,17.98
minority_2026,Calgary-Beddington,29.5306,31.8940,0.364808,46.07
minority_2026,Calgary-Bow-Springbank,15.4942,18.2773,0.582851,89.89
minority_2026,Calgary-Buffalo,0.0000,0.2121,0.000000,3.37
minority_2026,Calgary-Cross,15.6816,19.8698,0.499129,80.90
minority_2026,Calgary-Currie,12.5725,19.3311,0.422783,58.43
minority_2026,Calgary-De Winton,440.2047,121.7397,0.373250,49.44
minority_2026,Calgary-East,74.3341,43.5712,0.492039,77.53
minority_2026,Calgary-Edgemont,3.0342,7.2300,0.729421,96.63
minority_2026,Calgary-Elbow,0.0842,1.7953,0.328409,34.83
minority_2026,Calgary-Falconridge,73.0123,61.9174,0.239320,22.47
minority_2026,Calgary-Fish Creek,19.9245,26.9917,0.343666,39.33
minority_2026,Calgary-Foothills-Airdrie West,0.6731,4.0703,0.510544,83.15
minority_2026,Calgary-Glenmore,0.0013,0.7182,0.030869,11.24
minority_2026,Calgary-Hays,19.9760,23.5762,0.451617,66.29
minority_2026,Calgary-Klein,216.6158,88.2126,0.349816,42.70
minority_2026,Calgary-Lougheed,192.3348,74.6109,0.434173,61.80
minority_2026,Calgary-McCall-Bhullar,43.0330,31.0798,0.559828,88.76
minority_2026,Calgary-Mountain View,17.3748,26.6835,0.306652,31.46
minority_2026,Calgary-Nolan Hill-Cochrane,449.2983,139.7094,0.289263,28.09
minority_2026,Calgary-North,8.3458,35.3725,0.083820,13.48
minority_2026,Calgary-North East,0.3991,5.4800,0.167008,16.85
minority_2026,Calgary-North West-Bearspaw,0.0001,0.0437,0.466594,73.03
minority_2026,Calgary-Peigan-Chestermere,0.0000,0.1921,0.000000,1.12
minority_2026,Calgary-South,18.2481,33.7691,0.201089,20.22
