map,name_2026,perimeter_km_total,da_anchored_km,da_anchored_pct,muni_anchored_km_v0_4,muni_anchored_pct_recomputed,new_total_anchored_pct,pre_da_error_m
majority,Lesser Slave Lake,1192.018441698292,0.5999918204686238,0.050334105537310624,920.0176267944995,77.18149271950293,77.23182682504024,73.59933730254328
majority,Lethbridge-East,38.42214263835072,7.601820557322609,19.78499905347527,26.72293460345922,69.55087032753337,89.33586938100865,14.507117125317441
majority,Lethbridge-West,47.96088983359506,7.623370237437972,15.89497247421387,36.23918861593898,75.55987543532729,91.45484790954116,14.902565422265802
majority,Livingstone-Macleod,762.843679497922,20.724247968632792,2.716709664852017,688.0428552486107,90.1944754528814,92.91118511773342,10.514167027617411
majority,Lloydminster-Wainwright,527.2337430917569,0.0,0.0,521.8412111116553,98.97720279652833,98.97720279652833,0.0
majority,Medicine Hat-Brooks,751.605039095254,47.1112020160318,6.268079585089263,677.27631370574,90.11066696958453,96.3787465546738,41.85247071392978
majority,Medicine Hat-Cypress,410.2205949388409,47.017135472026254,11.461427352041152,304.213066630046,74.1584090080608,85.61983636010196,41.43792729932995
majority,Mountain View-Kneehill,584.2152988816486,56.25681866317629,9.629466871351635,330.32715180658306,56.5420235380555,66.17149040940714,11.03379618377316
majority,Okotoks-Diamond Valley,126.56238428351537,18.594757264225073,14.692167320876731,46.467226687038305,36.71487934594055,51.40704666681728,22.410163427060073
majority,Peace River,1693.3294804048305,3.869710840857701,0.22852675073799314,1448.7828254886122,85.55823555036945,85.78676230110744,12.688431327991719
majority,Red Deer-North,44.07191892927755,8.041257199878913,18.245761462719067,34.356532955057624,77.9556093534065,96.20137081612557,20.55486758781255
majority,Red Deer-South,28.08848017652565,8.047940517429819,28.65210387622081,18.341575839109908,65.29928185448243,93.95138573070324,20.320309803558946
majority,Sherwood Park,43.25414225565697,15.37761641360731,35.551777498480284,22.35045411445604,51.67240164503075,87.22417914351104,36.35280165068864
