map,ed_name,commission_pop,provincial_quota,deviation_pct,lower_band_pct,upper_band_pct,s15_invoked,s15_criteria_met,s15_verdict,classification,flag,notes
majority_2026,Calgary-Shaw,58171,54929.5,5.9,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-South East,53551,54929.5,-2.51,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Symons Valley,54797,54929.5,-0.24,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-Varsity,57166,54929.5,4.07,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Calgary-West-Elbow Valley,54167,54929.5,-1.39,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Beaumont,55802,54929.5,1.59,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Beverly-Clareview,57481,54929.5,4.65,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Castle Downs,59612,54929.5,8.52,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-City Centre,57312,54929.5,4.34,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Decore,57959,54929.5,5.52,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Ellerslie,59760,54929.5,8.79,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Enoch,56894,54929.5,3.58,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Glenora-Riverview,56622,54929.5,3.08,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Gold Bar,54981,54929.5,0.09,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Highlands-Norwood,51806,54929.5,-5.69,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Manning,56901,54929.5,3.59,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-McClung,61859,54929.5,12.62,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Meadows,56880,54929.5,3.55,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Mill Woods,59673,54929.5,8.64,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-North West,61226,54929.5,11.46,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Rutherford,58082,54929.5,5.74,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-South,60775,54929.5,10.64,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Strathcona,56165,54929.5,2.25,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-West Henday,61775,54929.5,12.46,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Whitemud,60347,54929.5,9.86,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Edmonton-Windermere,56944,54929.5,3.67,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Airdrie-East,53809,54929.5,-2.04,-25.0,25.0,N,,,COMPLIANT,,
