va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Camrose|051,Camrose,Camrose,Camrose,0,46.738143,161.773046,16.600000,-0.000000,-0.000000,-0.000000,Rest of Alberta
Camrose|052,Camrose,Camrose,Camrose,0,46.738143,161.773046,16.600000,-0.000000,-0.000000,-0.000000,Rest of Alberta
Airdrie-Cochrane|038,Airdrie-Cochrane,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane,1,143.311832,213.026038,5.285714,0.000069,0.000070,0.000001,Rest of Alberta
Calgary-Klein|014,Calgary-Klein,Calgary-Klein,Calgary-Klein,0,199.758060,186.491916,7.000000,-0.000111,-0.000107,0.000004,Calgary
Lac Ste. Anne-Parkland|011,Lac Ste. Anne-Parkland,Stony Plain-Drayton Valley,Lac Ste Anne-Parkland,1,153.523905,296.604905,14.000000,0.000041,0.000039,-0.000001,Rest of Alberta
Calgary-Hays|049,Calgary-Hays,Calgary-Hays,Calgary-Hays,0,175.083231,243.502414,7.166667,0.000095,0.000095,0.000000,Calgary
Calgary-North West|032,Calgary-North West,Calgary-North West,Calgary-North West-Bearspaw,1,174.745337,184.377037,6.400000,0.000111,0.000108,-0.000003,Calgary
Edmonton-Glenora|037,Edmonton-Glenora,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview,0,223.289940,91.884317,7.000000,-0.000019,-0.000019,-0.000000,Edmonton
Edmonton-City Centre|038,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,190.806678,55.899313,3.875000,0.000007,0.000007,0.000000,Edmonton
Innisfail-Sylvan Lake|050,Innisfail-Sylvan Lake,Sylvan Lake-Innisfail,Red Deer-Sylvan Lake,1,75.292279,218.091741,5.250000,0.000002,0.000011,0.000009,Rest of Alberta
Lacombe-Ponoka|030,Lacombe-Ponoka,Lacombe-Clearwater,Red Deer-Lacombe,1,103.628552,253.207192,29.000000,0.000008,0.000018,0.000011,Mountain-West
Spruce Grove-Stony Plain|006,Spruce Grove-Stony Plain,Spruce Grove,Edmonton-Spruce Grove,1,211.815165,289.879523,4.800000,0.000104,0.000112,0.000008,Rest of Alberta
Calgary-Shaw|051,Calgary-Shaw,Calgary-Shaw,Calgary-De Winton,1,124.847018,159.740479,1.545455,0.000066,0.000060,-0.000006,Calgary
Lacombe-Ponoka|036,Lacombe-Ponoka,Lacombe-Clearwater,Red Deer-Lacombe,1,87.856325,246.650034,17.333333,-0.000001,0.000009,0.000010,Mountain-West
Edmonton-Ellerslie|038,Edmonton-Ellerslie,Edmonton-Ellerslie,Edmonton-Ellerslie,0,178.926569,101.953476,5.250000,-0.000045,-0.000045,0.000000,Edmonton
Edmonton-Rutherford|038,Edmonton-Rutherford,Edmonton-Rutherford,Edmonton-Rutherford,0,248.795651,130.124249,5.000000,-0.000044,-0.000044,0.000000,Edmonton
Calgary-Elbow|035,Calgary-Elbow,Calgary-Elbow,Calgary-Elbow,0,218.237057,202.180280,7.833333,-0.000124,-0.000117,0.000007,Calgary
Calgary-Acadia|015,Calgary-Acadia,Calgary-Acadia,Calgary-Acadia,0,190.114778,211.539328,8.500000,0.000122,0.000121,-0.000000,Calgary
Calgary-Acadia|014,Calgary-Acadia,Calgary-Acadia,Calgary-Acadia,0,184.641368,173.553581,8.000000,0.000118,0.000118,-0.000000,Calgary
Peace River|010,Peace River,Peace River,Peace River,0,93.945743,240.400857,4.666667,0.000007,0.000007,0.000000,Rest of Alberta
Camrose|044,Camrose,Camrose,Camrose,0,97.330194,298.279996,32.000000,0.000007,0.000007,-0.000001,Rest of Alberta
Airdrie-East|068,Airdrie-East,Airdrie-East,Calgary-Airdrie,1,120.893139,225.346958,4.428571,0.000041,0.000068,0.000026,Rest of Alberta
Edmonton-Rutherford|008,Edmonton-Rutherford,Edmonton-Rutherford,Edmonton-Rutherford,0,350.646046,160.208408,12.000000,-0.000047,-0.000047,0.000000,Edmonton
Calgary-Mountain View|060,Calgary-Mountain View,Calgary-Mountain View,Calgary-Mountainview,1,213.988615,114.993719,4.000000,-0.000043,-0.000044,-0.000001,Calgary
Vermilion-Lloydminster-Wainwright|009,Vermilion-Lloydminster-Wainwright,Lloydminster-Wainwright,Lloydminster-Wainwright,0,77.440056,205.962837,21.833333,-0.000001,-0.000001,-0.000000,Rest of Alberta
Calgary-Falconridge|010,Calgary-Falconridge,Calgary-Cross,Calgary-Falconridge,1,150.076778,132.939516,8.666667,-0.000081,-0.000074,0.000007,Calgary
Calgary-North East|020,Calgary-North East,Calgary-Nose Creek,Calgary-Airdrie,1,179.844775,166.389664,0.000000,-0.000103,0.000109,0.000211,Calgary
Calgary-Varsity|012,Calgary-Varsity,Calgary-Varsity,Calgary-Varsity,0,142.370297,119.042724,1.375000,-0.000064,-0.000070,-0.000005,Calgary
Lac Ste. Anne-Parkland|001,Lac Ste. Anne-Parkland,West Yellowhead,Lac Ste Anne-Parkland,1,59.873588,213.919047,8.000000,-0.000004,-0.000005,-0.000001,Rest of Alberta
Athabasca-Barrhead-Westlock|019,Athabasca-Barrhead-Westlock,Barrhead-Westlock-Athabasca,Barrhead-Westlock-Athabasca,0,72.826872,237.666949,0.000000,-0.000003,-0.000002,0.000001,Rest of Alberta
Edmonton-South|019,Edmonton-South,Edmonton-Ellerslie,Edmonton-Ellerslie,0,118.535642,84.963340,2.600000,-0.000041,-0.000041,0.000000,Edmonton
Highwood|061,Highwood,Okotoks-Diamond Valley,Calgary-De Winton,1,110.392540,242.237480,4.954545,0.000028,0.000041,0.000012,Rest of Alberta
Calgary-Buffalo|001,Calgary-Buffalo,Calgary-Elbow,Calgary-Elbow,0,184.675046,97.174065,3.555556,-0.000057,-0.000052,0.000006,Calgary
Edmonton-City Centre|033,Edmonton-City Centre,Edmonton-City Centre,Edmonton-City Centre,0,165.936154,49.748279,3.666667,0.000006,0.000006,0.000000,Edmonton
Edmonton-South West|069,Edmonton-South West,Edmonton-Windermere,Edmonton-Windermere,0,109.574056,87.218677,1.555556,-0.000049,-0.000049,0.000000,Edmonton
Calgary-Currie|015,Calgary-Currie,Calgary-Currie,Calgary-Currie,0,153.081255,129.832944,10.833333,-0.000073,-0.000073,-0.000001,Calgary
Rimbey-Rocky Mountain House-Sundre|071,Rimbey-Rocky Mountain House-Sundre,Mountain View-Kneehill,Rocky Mountain House-Banff Park,1,122.029821,450.257667,39.500000,-0.000030,-0.000025,0.000006,Rest of Alberta
Calgary-Buffalo|020,Calgary-Buffalo,Calgary-Buffalo,Calgary-Buffalo,0,180.570126,85.680058,2.777778,-0.000031,-0.000031,0.000000,Calgary
Edmonton-North West|039,Edmonton-North West,Edmonton-North West,Edmonton-North West,0,232.865960,129.717837,5.000000,-0.000058,-0.000058,0.000000,Edmonton
Edmonton-Ellerslie|014,Edmonton-Ellerslie,Edmonton-Ellerslie,Edmonton-Ellerslie,0,175.377570,106.678936,2.400000,-0.000049,-0.000049,0.000000,Edmonton
Edmonton-Ellerslie|017,Edmonton-Ellerslie,Edmonton-Ellerslie,Edmonton-Ellerslie,0,175.377570,106.678936,2.400000,-0.000049,-0.000049,0.000000,Edmonton
Olds-Didsbury-Three Hills|032,Olds-Didsbury-Three Hills,Mountain View-Kneehill,Olds-Three Hills-Didsbury,1,92.571635,363.076767,20.400000,-0.000028,-0.000027,0.000001,Rest of Alberta
