pass,donor,receiver,donor_pct,receiver_pct,pct_diff,shared_length_m,vertices_snapped
3,Edmonton-Highlands-Norwood,Edmonton-South,98.44,79.93,18.51,3118.8,78
3,Airdrie East,Olds-Three Hills-Didsbury,46.18,12.22,33.96,19899.8,517
3,Lethbridge-Little Bow,Lethbridge-Taber-Warner,92.64,45.84,46.81,37105.8,943
3,Medicine Hat-Cypress,Lethbridge-Taber-Warner,86.56,45.84,40.72,131417.8,3152
3,Red Deer-Blackfalds,Red Deer-Innisfail,100.0,64.14,35.86,216.7,27
3,Red Deer-Lacombe,Red Deer-Innisfail,91.79,64.14,27.65,17204.0,1200
3,Red Deer-Sylvan Lake,Red Deer-Innisfail,100.0,64.14,35.86,33280.9,947
3,Red Deer-Lacombe,Wetaskawin-Ponoka-Maskwacis,91.79,11.07,80.72,4752.0,584
4,Calgary-Acadia,Calgary-South,100.0,87.58,12.42,642.7,31
4,Calgary-Airdrie,Olds-Three Hills-Didsbury,98.05,12.22,85.83,548.2,16
4,Calgary-Airdrie,Calgary-Falconridge,98.05,86.64,11.41,1912.7,43
4,Calgary-Falconridge,Airdrie East,86.64,46.18,40.46,8684.8,258
4,Calgary-Peigan-Chestermere,Calgary-Klein,94.82,73.66,21.16,2644.1,105
4,Calgary-Peigan-Chestermere,Highwood,94.82,68.93,25.89,1094.8,43
4,Calgary-South East,Highwood,92.82,68.93,23.89,5329.4,334
4,Edmonton-Highlands-Norwood,Edmonton-Ellerslie,98.44,66.35,32.1,2177.4,59
4,Edmonton-Enoch-Devon,Lac Ste. Anne-Parkland,76.9,15.8,61.1,4102.9,214
4,Edmonton-Highlands-Norwood,Edmonton-South,98.44,79.93,18.51,3105.0,77
4,Edmonton-South,Edmonton-Rutherford,79.93,22.15,57.78,685.6,118
4,Lethbridge-Little Bow,Lethbridge-Taber-Warner,92.64,45.84,46.81,37105.8,943
4,Medicine Hat-Cypress,Lethbridge-Taber-Warner,86.56,45.84,40.72,131417.8,3152
4,Red Deer-Blackfalds,Red Deer-Innisfail,100.0,64.14,35.86,216.7,27
4,Red Deer-Lacombe,Red Deer-Innisfail,91.79,64.14,27.65,17204.0,1213
4,Red Deer-Sylvan Lake,Red Deer-Innisfail,100.0,64.14,35.86,25173.5,953
4,Red Deer-Lacombe,Wetaskawin-Ponoka-Maskwacis,91.79,11.07,80.72,4768.3,580
5,Calgary-Acadia,Calgary-South,100.0,87.58,12.42,642.7,31
5,Calgary-Airdrie,Olds-Three Hills-Didsbury,98.05,12.22,85.83,548.2,16
5,Calgary-Airdrie,Calgary-Falconridge,98.05,86.64,11.41,1912.7,43
5,Calgary-Falconridge,Airdrie East,86.64,46.18,40.46,8696.8,256
5,Calgary-Peigan-Chestermere,Calgary-Klein,94.82,73.66,21.16,2656.4,106
