ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Edmonton-Strathcona,3031.999983858497,13979.999893212387,522.9999968459894,17534.999873916873
Edmonton-West Henday,4925.959271014903,6768.964005713978,398.6032627639278,12093.526539492808
Edmonton-Whitemud,7271.81258744584,11964.73395664934,552.9094938655519,19789.456037960732
Edmonton-Windermere,10333.614675083207,13810.791389951411,306.8672428709472,24451.273307905565
Airdrie-East,15200.740973434435,8689.61890642231,622.5617760643917,24512.921655921138
Airdrie-West,385.85049195764736,190.91150686495507,13.845082723162204,590.6070815457647
Barrhead-Westlock-Athabasca,15630.999995058439,5400.999998381145,1.487885058721622e-08,21031.99999345446
Camrose,13031.99999899052,5578.999999737134,1944.9999998320334,20555.999998559688
Canmore-Banff,8505.338262251542,9193.593867628486,343.6088572571828,18042.54098713721
Central Peace-Notley,9279.99999928823,2215.9999997777104,449.9999999663474,11945.999999032287
Chestermere-Strathmore,15357.62950623068,6117.091273252293,566.8517988176839,22041.572578300656
Cochrane-Springbank,17688.1469212032,11032.0870988752,761.1548319957487,29481.388852074146
Cold Lake-Bonnyville-St. Paul,13314.999998439645,4326.999999180036,2.0351060274391467e-08,17641.999997640032
Drumheller-Stettler,15269.999998686239,2683.9999996718384,635.9999999308803,18589.99999828896
Fort McMurray-Lac La Biche,7691.99999308763,2560.9999975718906,202.0000000293021,10454.999990688822
Fort McMurray-Wood Buffalo,6483.001954033471,1884.0002360598091,1211.0000836898646,9578.002273783146
Fort Saskatchewan-Vegreville,14126.000002394241,9064.000002119688,1136.0000000066073,24326.000004520538
Grande Prairie,10000.99998376712,4889.999975018886,749.9999954277234,15640.99995421373
Grande Prairie-Wapiti,15127.754359889455,4076.530407532588,644.9999966764838,19849.284764098527
High River-Vulcan-Siksika,16865.986073303135,4977.897946528815,1358.6055499003674,23202.489569732315
Lacombe-Clearwater,29894.999996091134,8112.999999189413,5607.99999956716,43615.999994847705
Leduc-Devon,9141.354125338632,6237.72997155596,476.4240009769842,15855.508097871576
Lesser Slave Lake,5170.999999864876,2635.9999999495317,143.9999999963668,7950.999999810775
Lethbridge-East,10997.999992287208,10361.999996875535,488.00000053643356,21847.99998969918
Lethbridge-West,9524.999971775564,12081.999961830394,799.9999971540437,22406.99993076
Livingstone-Macleod,16490.999998468422,6491.999999446135,1651.9999998591113,24634.99999777367
Lloydminster-Wainwright,13096.999962259813,3074.9999899302106,1431.99999545988,17603.999947649903
Medicine Hat-Brooks,13315.000031362659,5477.000030950823,1233.0000008609532,20025.000063174437
Medicine Hat-Cypress,13488.999945219319,7696.999955878772,608.9999972938089,21794.9998983919
Mountain View-Kneehill,18227.999988625765,4552.999996946974,1427.99999917321,24208.999984745948
Okotoks-Diamond Valley,11255.720211007361,4946.864117644135,363.062623037635,16565.646951689134
Peace River,8235.998051993343,2586.999766113172,483.99991623017985,11306.997734336695
Red Deer-North,10628.888934209557,7143.92170619125,720.9942467134712,18493.80488711428
Red Deer-South,13468.99997195379,9975.999979138262,579.9999988460777,24024.99994993813
Sherwood Park,11447.00001114658,13108.000048568507,1517.9999989513724,26073.000058666457
Spruce Grove,14364.999888861077,10196.999919271375,644.9999957780379,25206.99980391049
St. Albert,10199.999958023425,15020.999936221588,454.9999988945365,25675.999893139546
St. Albert-Sturgeon,13472.000011387006,11728.000018508721,820.0000012358518,26020.000031131578
Stony Plain-Drayton Valley,16532.000029492323,5009.000084036961,890.0000010000145,22431.0001145293
Strathcona-Sherwood Park,13508.447806431144,11388.255324096866,597.8163326342585,25494.51946316227
Sylvan Lake-Innisfail,16385.11107471623,5700.078303816765,797.005753443934,22882.19513197693
Taber-Cardston,12378.999992525492,2817.000001525981,1245.9999990264228,16441.999993077898
West Yellowhead,14421.245547052866,5665.469564312613,2.069462097165433e-09,20086.71511136755
