ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Edmonton-South,60775,71573,17.76717400246812,10.641879280131022,11.938029531269391,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Strathcona,56165,66144,17.767292798005876,2.249299050079125,3.4472360431487097,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-West Henday,61775,72751,17.76770538243626,12.462395599014297,13.780386268975445,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Whitemud,60347,71069,17.76724609342635,9.86269829564898,11.149788618023337,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Windermere,56944,67062,17.76833380162967,3.6674812624891957,4.882960563704021,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Fort McMurray-Lac La Biche,52847,53097,0.4730637500709596,-3.79117409597558,-16.957881407488706,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Fort McMurray-Wood Buffalo,49615,49164,-0.908999294568175,-9.675082838606325,-23.108975676926658,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Fort Saskatchewan-Vegreville,54278,60239,10.982350123438595,-1.1860152436536144,-5.788007196371022,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Grande Prairie,50352,53625,6.500238322211629,-8.333362311589351,-16.132105212659507,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Grande Prairie-Wapiti,53781,57272,6.491139993678065,-2.090811854138602,-10.42830638208737,pass,pass,False,commission Plan A + direct 2019-ED growth factor
High River-Vulcan-Siksika,53351,62830,17.767239601881876,-2.8736338712584097,-1.7357607554572836,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lacombe-Clearwater,55750,61635,10.556053811659192,1.493784777742566,-3.604704984284732,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Leduc-Devon,56572,67405,19.149048999505055,2.990249191864618,5.419402296329808,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lesser Slave Lake,30011,35343,17.766818833094533,-45.36448475399404,-44.724605958620515,s15(2),s15(2),False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lethbridge-East,57463,67673,17.767955031933592,4.612329231989616,5.838546274008264,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lethbridge-West,54235,63871,17.767124550566976,-1.2642974453655953,-0.1076679167883521,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Livingstone-Macleod,50144,59053,17.7668315252074,-8.712029705917072,-7.642875694604791,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lloydminster-Wainwright,50139,55369,10.431001814954428,-8.72113228751149,-13.404541417617608,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Medicine Hat-Brooks,54833,59264,8.080900187843088,-0.17562868667339693,-7.312878010686304,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Medicine Hat-Cypress,54210,58448,7.8177458033573135,-1.309810353337677,-8.589077584513246,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Mountain View-Kneehill,52432,61748,17.76777540433323,-4.5466883683121395,-3.4279763668307552,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Okotoks-Diamond Valley,55284,65107,17.768251211923882,0.64542417314296,1.8253990847436359,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Peace River,43399,51110,17.7676904997811,-20.99141227678476,-20.065489928559952,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Red Deer-North,53798,63357,17.768318524852226,-2.0598630767175865,-0.9115485306940494,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Red Deer-South,59123,69628,17.76804289362854,7.634386321335852,8.89610775296865,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Sherwood Park,52475,61799,17.76846117198666,-4.468406166600158,-3.3482138934665713,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Spruce Grove,55930,64225,14.831038798498122,1.8214777151415555,0.4459774865630425,pass,pass,False,commission Plan A + direct 2019-ED growth factor
St. Albert,59935,70584,17.767581546675565,9.11264557226907,10.391263136030608,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
St. Albert-Sturgeon,54214,59742,10.196628177223594,-1.302528288062144,-6.565300319155325,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Stony Plain-Drayton Valley,55743,65647,17.767253287408284,1.481041163510383,2.669942920364407,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Strathcona-Sherwood Park,51020,56631,10.99764798118385,-7.117257410575323,-11.430811194370547,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Sylvan Lake-Innisfail,55290,65114,17.768131669379635,0.6563472710562597,1.8363468752053864,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Taber-Cardston,54933,64693,17.76709810132343,0.006422945214930543,1.1779154774343776,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
West Yellowhead,56562,66612,17.768112867296065,2.972044028675785,4.179174034020045,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Wetaskiwin-Ponoka-Maskwacis,56399,60879,7.9434032518307065,2.6752998686978113,-4.787066354153811,pass,pass,False,commission Plan A + direct 2019-ED growth factor
