va_id,parent_ed_2019,va_number,majority_hybrid_candidate,minority_hybrid_candidate
Taber-Warner|039,Taber-Warner,039,,Lethbridge-Taber-Warner
Calgary-Peigan|018,Calgary-Peigan,018,,Calgary-Peigan-Chestermere
Calgary-Foothills|005,Calgary-Foothills,005,,Calgary-Foothills-Airdrie West
Lacombe-Ponoka|002,Lacombe-Ponoka,002,Lacombe-Clearwater,
Vermilion-Lloydminster-Wainwright|026,Vermilion-Lloydminster-Wainwright,026,Lloydminster-Wainwright,
Calgary-Peigan|003,Calgary-Peigan,003,,Calgary-Peigan-Chestermere
Airdrie-East|044,Airdrie-East,044,,Calgary-Airdrie
Brooks-Medicine Hat|010,Brooks-Medicine Hat,010,Medicine Hat-Brooks,
Cypress-Medicine Hat|049,Cypress-Medicine Hat,049,Medicine Hat-Cypress,
Lethbridge-West|046,Lethbridge-West,046,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Wood Buffalo|004,Fort McMurray-Wood Buffalo,004,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-North West|017,Calgary-North West,017,,Calgary-North West-Bearspaw
Calgary-Bow|050,Calgary-Bow,050,,Calgary-Bow-Springbank
Maskwacis-Wetaskiwin|014,Maskwacis-Wetaskiwin,014,Wetaskiwin-Ponoka-Maskwacis,
Morinville-St. Albert|027,Morinville-St. Albert,027,St. Albert-Sturgeon,St. Albert-Sturgeon
Airdrie-Cochrane|005,Airdrie-Cochrane,005,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Calgary-Foothills|029,Calgary-Foothills,029,,Calgary-Foothills-Airdrie West
Morinville-St. Albert|034,Morinville-St. Albert,034,St. Albert-Sturgeon,St. Albert-Sturgeon
Calgary-West|028,Calgary-West,028,,Calgary-West-Tsuut’ina
Brooks-Medicine Hat|027,Brooks-Medicine Hat,027,Medicine Hat-Brooks,
Maskwacis-Wetaskiwin|004,Maskwacis-Wetaskiwin,004,Wetaskiwin-Ponoka-Maskwacis,
Lethbridge-East|001,Lethbridge-East,001,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-Foothills|019,Calgary-Foothills,019,,Calgary-Foothills-Airdrie West
Fort McMurray-Wood Buffalo|012,Fort McMurray-Wood Buffalo,012,,Lethbridge-Fort MacLeod-Crowsnest Pass
Airdrie-East|062,Airdrie-East,062,,Calgary-Airdrie
Fort McMurray-Lac La Biche|042,Fort McMurray-Lac La Biche,042,,Lethbridge-Fort MacLeod-Crowsnest Pass
Taber-Warner|054,Taber-Warner,054,,Lethbridge-Taber-Warner
Spruce Grove-Stony Plain|010,Spruce Grove-Stony Plain,010,Spruce Grove,
Airdrie-East|049,Airdrie-East,049,,Calgary-Airdrie
Fort Saskatchewan-Vegreville|006,Fort Saskatchewan-Vegreville,006,,Lethbridge-Fort MacLeod-Crowsnest Pass
Brooks-Medicine Hat|063,Brooks-Medicine Hat,063,Medicine Hat-Brooks,
Spruce Grove-Stony Plain|046,Spruce Grove-Stony Plain,046,Spruce Grove,
Airdrie-East|057,Airdrie-East,057,,Calgary-Airdrie
Drayton Valley-Devon|039,Drayton Valley-Devon,039,,Edmonton-Enoch-Devon
Drayton Valley-Devon|037,Drayton Valley-Devon,037,,Edmonton-Enoch-Devon
Airdrie-Cochrane|033,Airdrie-Cochrane,033,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Airdrie-East|003,Airdrie-East,003,,Calgary-Airdrie
Calgary-Peigan|011,Calgary-Peigan,011,,Calgary-Peigan-Chestermere
Drayton Valley-Devon|011,Drayton Valley-Devon,011,,Edmonton-Enoch-Devon
Taber-Warner|015,Taber-Warner,015,,Lethbridge-Taber-Warner
Calgary-Foothills|044,Calgary-Foothills,044,,Calgary-Foothills-Airdrie West
Drayton Valley-Devon|032,Drayton Valley-Devon,032,,Edmonton-Enoch-Devon
Cypress-Medicine Hat|011,Cypress-Medicine Hat,011,Medicine Hat-Cypress,
Fort McMurray-Wood Buffalo|027,Fort McMurray-Wood Buffalo,027,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-East|059,Lethbridge-East,059,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-East|057,Lethbridge-East,057,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|006,Fort McMurray-Lac La Biche,006,,Lethbridge-Fort MacLeod-Crowsnest Pass
Airdrie-Cochrane|023,Airdrie-Cochrane,023,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Vermilion-Lloydminster-Wainwright|037,Vermilion-Lloydminster-Wainwright,037,Lloydminster-Wainwright,
Airdrie-East|033,Airdrie-East,033,,Calgary-Airdrie
Airdrie-East|032,Airdrie-East,032,,Calgary-Airdrie
Lethbridge-East|002,Lethbridge-East,002,,Lethbridge-Fort MacLeod-Crowsnest Pass
Airdrie-East|064,Airdrie-East,064,,Calgary-Airdrie
Spruce Grove-Stony Plain|022,Spruce Grove-Stony Plain,022,Spruce Grove,
Edmonton-Beverly-Clareview|037,Edmonton-Beverly-Clareview,037,,Edmonton-Beverly-Clareview
Maskwacis-Wetaskiwin|005,Maskwacis-Wetaskiwin,005,Wetaskiwin-Ponoka-Maskwacis,
Lethbridge-East|037,Lethbridge-East,037,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-Peigan|033,Calgary-Peigan,033,,Calgary-Peigan-Chestermere
Cypress-Medicine Hat|005,Cypress-Medicine Hat,005,Medicine Hat-Cypress,
Cypress-Medicine Hat|006,Cypress-Medicine Hat,006,Medicine Hat-Cypress,
Fort McMurray-Lac La Biche|014,Fort McMurray-Lac La Biche,014,,Lethbridge-Fort MacLeod-Crowsnest Pass
