ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Edmonton-Spruce Grove,59524,68352,14.83099254082387,8.363305066526912,6.7791540696408985,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Strathcona,56165,67678,20.4985311136829,2.2482532938223905,5.726234625543607,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-West Henday,62510,75323,20.497520396736522,13.799311197308603,17.669215560445362,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Whitemud,60347,72719,20.501433376969857,9.861574673235998,13.60125972598046,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Windermere,56944,67062,17.76833380162967,3.666421001752376,4.763922492659438,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Fort McMurray-Lac La Biche,44719,44930,0.47183523781837694,-18.589163374940913,-29.810577710250385,pass,fail,True,commission Plan A + direct 2019-ED growth factor
Fort McMurray-Wood Buffalo,46721,46297,-0.9075148220286381,-14.944526980491837,-27.675057116658408,pass,fail,True,commission Plan A + direct 2019-ED growth factor
Fort Saskatchewan-Vegreville,54274,60235,10.983159523897262,-1.1943078559794102,-5.901182915133142,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Grande Prairie,50352,53625,6.500238322211629,-8.334299833516514,-16.22729200338698,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Grande Prairie-Wapiti,52041,55419,6.491035913990892,-5.259479219018766,-13.424714135863928,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Highwood,54375,64036,17.76735632183908,-1.0104375883273837,0.0367203593680437,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lac Ste. Anne-Parkland,47017,51089,8.66069719463173,-14.405659661432434,-20.1890185764296,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Leduc,52328,62348,19.148448249503133,-4.736996379255086,-2.600264835937929,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Lesser Slave Lake,30011,31659,5.4913198493885576,-45.36504353955482,-50.54246783282477,s15(2),fail,True,commission Plan A + direct 2019-ED growth factor
Lethbridge-Cardston,51831,61040,17.767359302348016,-5.641783735919018,-4.643615923295875,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lethbridge-Fort MacLeod-Crowsnest Pass,54564,64259,17.768125503995307,-0.6663635231171563,0.3850898490322806,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lethbridge-Little Bow,56212,66199,17.76666903863944,2.333816685700066,3.4157481896090496,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lethbridge-Taber-Warner,60906,66041,8.431024857977867,10.879232887270481,3.1689213763043442,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Lloydminster-Wainwright,49365,58136,17.767649144130456,-10.131131062947702,-9.180230264035533,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Medicine Hat-Brooks,54898,59334,8.080440088892127,-0.058317291475801766,-7.308720628978333,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Medicine Hat-Cypress,60690,65435,7.818421486241556,10.486005384173078,2.2222311936293324,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Olds-Three Hills-Didsbury,49436,53292,7.7999838174609595,-10.001875726281426,-16.74750294535196,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Peace River,43408,45339,4.448488757832657,-20.975835859018208,-29.171639946695798,pass,fail,True,commission Plan A + direct 2019-ED growth factor
Red Deer-Blackfalds,52827,58110,10.000567891419161,-3.828568027192105,-9.220847334579346,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Red Deer-Innisfail,52961,58258,10.001699363682711,-3.5846213354557532,-8.989642471483798,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Red Deer-Lacombe,56180,66162,17.767888928444286,2.275560759315266,3.357946973835163,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Red Deer-Sylvan Lake,52454,57951,10.479658367331377,-4.507613669114935,-9.469236342904967,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Rocky Mountain House-Banff Park,38298,45103,17.768551882604836,-30.27857910359103,-29.54031797163194,s15(2),s15(2),False,commission Plan A + direct 2019-ED growth factor
Sherwood Park,55311,61397,11.003236245954692,0.6935482584280289,-4.085912300828912,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Sherwood Park-Strathcona,51826,57526,10.998340601242619,-5.650886224416643,-10.133169226794209,pass,pass,False,commission Plan A + direct 2019-ED growth factor
St. Albert,54589,60321,10.500283939987911,-0.620851080629031,-5.766834143334378,pass,pass,False,commission Plan A + direct 2019-ED growth factor
St. Albert-Sturgeon,52334,57671,10.197959261665456,-4.726073393057937,-9.906650948761408,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Stony Plain-Drayton Valley,48032,52135,8.542221852098601,-12.557854496414544,-18.554962584551614,pass,pass,False,commission Plan A + direct 2019-ED growth factor
West Yellowhead,49766,52283,5.05766989510911,-9.401111485438172,-18.323757721456065,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Wetaskawin-Ponoka-Maskwacis,48775,57441,17.767298821117375,-11.20522470566746,-10.265955803572057,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
