map,ed_name,area_m2,perimeter_m,polsby_popper
majority,Calgary-Mountain View,15878547.779864851,23751.934213033936,0.35368991839200997
majority,Calgary-North,22673538.335826527,26477.01166144574,0.40643512181450625
majority,Calgary-North East,25088847.254339546,23916.05441205952,0.5512029152229269
majority,Calgary-North West,26220486.27866785,36574.92038660134,0.24631101101635236
majority,Calgary-Nose Creek,44866726.25219094,31686.18506496416,0.5615576360584135
majority,Calgary-Shaw,34224474.002924494,25987.81216156313,0.636806090052434
majority,Calgary-South East,43591010.76500702,28827.31427173474,0.6591715241949804
majority,Calgary-Symons Valley,36454507.945593685,27655.7426616993,0.5989498407688478
majority,Calgary-Varsity,26964488.969872996,27762.660913133324,0.4396224684836503
majority,Calgary-West-Elbow Valley,72186808.51500967,58706.698752777185,0.2632039402965931
majority,Edmonton-Beaumont,75091005.03940089,42569.49092411829,0.5207159346275503
majority,Edmonton-Beverly-Clareview,56490054.067699246,36295.09833899441,0.5388723492812518
majority,Edmonton-Castle Downs,20859177.16837699,21364.798429890394,0.5742611513742472
majority,Edmonton-City Centre,15186988.45269851,18535.937874365543,0.5554594967887486
majority,Edmonton-Decore,18145764.041451205,18760.916903166253,0.647853789651584
majority,Edmonton-Ellerslie,23157865.632705208,24631.321841955105,0.4796593956441522
majority,Edmonton-Enoch,146327615.39422697,62249.82161430134,0.47452591665282623
majority,Edmonton-Glenora-Riverview,25734237.69296598,26194.87875603468,0.4712901756691845
majority,Edmonton-Gold Bar,56600414.026928045,38914.75044303613,0.4696788160820586
majority,Edmonton-Highlands-Norwood,18774144.956183203,22269.488448729782,0.4757179610310552
majority,Edmonton-Manning,97352101.57137416,46580.27876435327,0.5638336984861365
majority,Edmonton-McClung,27545059.768188607,29464.908981239907,0.3986973741096866
majority,Edmonton-Meadows,13434084.81795293,15387.408109882637,0.7129958550082567
majority,Edmonton-Mill Woods,24352600.778612018,22402.858475310484,0.6097451332316063
majority,Edmonton-North West,32003113.815582573,33478.32380656952,0.3588183864102783
majority,Edmonton-Rutherford,26072485.76366761,30509.119393718072,0.35199213375431637
majority,Edmonton-South,54269149.784858644,54537.69113641562,0.22928169603323356
majority,Edmonton-Strathcona,26227549.81651159,26788.425849160893,0.4592754128474901
majority,Edmonton-West Henday,73391237.65810765,39752.07516751956,0.5836257778442454
majority,Edmonton-Whitemud,27052462.38207883,37689.3053132399,0.23932077499324658
majority,Edmonton-Windermere,55196902.77346191,54489.50800432801,0.2336139647034437
majority,Airdrie-East,1579351671.6570935,195374.88339616483,0.5199376234759557
majority,Airdrie-West,194602932.55491456,61675.24877899992,0.6428911163823388
majority,Barrhead-Westlock-Athabasca,14652287227.772463,738337.7475170278,0.33775761006254007
majority,Camrose,10095764175.731693,589556.9747938876,0.3650038943399297
majority,Canmore-Banff,15660004419.42427,1148318.762475928,0.14923710736229484
majority,Central Peace-Notley,47311820754.44008,1505332.5332851016,0.2623702749466894
majority,Chestermere-Strathmore,1019716043.4670717,144555.2896071169,0.6132268188273615
majority,Cochrane-Springbank,754681764.1074762,164662.46872320288,0.3497715449422691
majority,Cold Lake-Bonnyville-St. Paul,16704115999.562042,678093.0242837786,0.4565147433705408
majority,Drumheller-Stettler,39968183677.35233,1095039.6453345232,0.4188558551938166
majority,Fort McMurray-Lac La Biche,35378890265.728966,1197416.4762382475,0.31007275708314097
majority,Fort McMurray-Wood Buffalo,86359757643.56927,1519278.9167435274,0.47016062678143045
majority,Fort Saskatchewan-Vegreville,8299254689.993308,551110.5581542687,0.34337723085834654
majority,Grande Prairie,111649766.93194467,59406.108016581165,0.3975625648106669
majority,Grande Prairie-Wapiti,16017699678.028036,722207.8995223602,0.3859095639725875
majority,High River-Vulcan-Siksika,14771198759.20189,829090.6292442994,0.2700359543717338
majority,Lacombe-Clearwater,20237705758.163887,938022.1807565385,0.289031332699618
majority,Leduc-Devon,1862528073.2089212,270515.15748436947,0.3198375739093602
majority,Lesser Slave Lake,75775342363.05635,1320623.569014702,0.5459837079685969
majority,Lethbridge-East,51216292.42247345,42515.48841742433,0.3560603834748508
majority,Lethbridge-West,95410109.88225374,62026.96187943116,0.3116328566251158
majority,Livingstone-Macleod,12691142438.268818,901417.2634740631,0.19627222240282935
majority,Lloydminster-Wainwright,11047192594.698204,569109.9080718356,0.42861710263474906
majority,Medicine Hat-Brooks,13740260775.941057,752082.7855144853,0.3052625606429701
majority,Medicine Hat-Cypress,6116895672.979001,411076.58017814514,0.4548785601580336
majority,Mountain View-Kneehill,7685012962.420429,528709.7503295859,0.3454775484542204
