perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
35,-2.31201487408203,-2.164557220563736,0.1474576535182938,-2.5889395068792345,-1.024863160512951,-0.031176763148079937,-0.02587230066537465,48,46,39,37,True,True,0.8661741990651243,0.8475105235692046
36,-2.154834058630012,-2.4956516042425556,-0.3408175456125439,-2.524844378946095,-0.9088725085750038,-0.01716266748174435,-0.026993879489165762,47,45,38,37,True,True,0.8662570105230293,0.8475755007220984
37,1.085237497286612,-2.5393202482676545,-3.624557745554266,-2.527655905307963,-1.250337649852501,-0.0038457530640854903,-0.028989337764707298,47,46,37,37,True,True,0.8665243231002839,0.8475659590812789
38,0.8179068848961853,-2.7098667128709355,-3.5277735977671214,-2.392487765038581,-1.2755255734112791,-0.017572243658257016,-0.0321485977460654,48,46,38,37,True,True,0.8662824574025031,0.8475636741427801
39,-1.9490842568229516,-2.561354827703784,-0.6122705708808324,-2.4410974590129197,-1.0718535952089214,-0.028880925323681236,-0.026679256643670476,49,45,39,37,True,True,0.8664116503453365,0.8475754166452779
40,-2.041724743549313,-2.546059263508663,-0.5043345199593499,-2.4093035653038997,-1.110294051340932,-0.017436674309652903,-0.027613386241679822,48,47,38,37,True,True,0.866479801356192,0.8475190005847566
41,0.9835270472305199,-2.4271759209098227,-3.4107029681403422,-2.5465517411629057,-1.212056132642586,-0.004417811987072368,-0.019040633072206114,48,45,37,36,True,True,0.8667443501053634,0.8475144694308239
42,-2.289503291389254,-2.061123363335048,0.22837992805420543,-2.4282954214999206,-1.3586803805653025,-0.03138820796098135,-0.024797102917222275,49,46,39,37,True,True,0.8665046316206357,0.8475374943735725
43,0.9097446156657739,-2.9276384238173625,-3.8373830394831367,-2.6411770619917285,-0.779946445468549,-0.004194332129870165,-0.028866832558052277,48,43,37,37,True,True,0.8661555339866623,0.8475559030213243
44,1.2198243717571216,-2.1901657393352885,-3.40999011109241,-2.4977002699913484,-1.197770296625189,-0.003187175751113292,-0.029022486278734005,48,45,37,37,True,True,0.866671404561205,0.8475037862865007
45,-2.391425443497934,-2.578078294487281,-0.1866528509893467,-2.525388347743246,-1.2297062851207907,-0.01813498708292685,-0.02672370377132576,47,45,38,37,True,True,0.8661489325318998,0.8475398333549362
46,0.7023949850002925,-2.2598502386349106,-2.962245223635203,-2.4398701962816682,-1.3674170270533526,-0.003592021115288064,-0.015439413530887066,47,46,37,36,True,True,0.8665709375072204,0.8474813492876699
47,-2.156708315416485,-2.4151939097869377,-0.2584855943704528,-2.7950888146869026,-0.9966412062096697,-0.03095252166685701,-0.02807293894662868,48,45,39,37,True,True,0.8662006936637824,0.847476652006753
48,-2.3052752315461023,-2.779008357459877,-0.47373312591377503,-2.5441269809966247,-1.1442775126638216,-0.01738606763680969,-0.03158617265714578,49,45,38,37,True,True,0.8665296691260574,0.8475864621583121
49,1.0225590655911148,-2.42578719607608,-3.448346261667195,-2.5056558119896213,-1.2214359230878324,-0.01679532259346068,-0.026813787457675858,48,46,38,37,True,True,0.8662894797794275,0.8475348636515652
50,-2.4963922995861068,-2.1774033737172136,0.31898892586889294,-2.6054777254362116,-1.7458325215289727,-0.032066380028452524,-0.02878306711081438,48,45,39,37,True,True,0.8664652154887018,0.8475679805256281
51,0.7701407326964542,-2.2277085700447214,-2.9978493027411757,-2.7774048559965014,-1.1956939380777631,-0.017389536821294245,-0.027246103492367415,47,46,38,37,True,True,0.8661644125857689,0.8475640597920948
52,-2.3710338171298115,-2.4848525081087964,-0.11381869097898505,-2.8369111173996373,-1.53921801588347,-0.04550748892871739,-0.028313859436075662,48,45,40,37,True,True,0.8659515447859629,0.8474645130414724
53,-1.986985028374571,-2.715577291659162,-0.7285922632845908,-2.6719221440149434,-1.164729963332084,-0.04293215666116156,-0.03196295209778229,47,45,40,37,True,True,0.866093072828982,0.8475686918758822
54,0.4629286823339407,-2.5593928713791825,-3.022321553713123,-2.3458901095552545,-0.9907343876629782,-0.03153866695746402,-0.01637672881559293,48,46,39,36,True,True,0.866209453674593,0.8475347190682007
55,-2.538821551443876,-2.6535714576620117,-0.1147499062181357,-2.676725284448783,-0.13725023493462163,-0.031058145792918577,-0.018426174940072995,47,43,39,36,True,True,0.8664399335676989,0.847545123099552
56,-2.156767459357233,-2.3289290511018357,-0.17216159174460283,-1.9582833643576825,-0.8375471601833939,-0.01759345790287683,-0.0284813372275435,48,44,38,37,True,True,0.8663207021074255,0.847556291257376
57,0.7068981996799326,-2.4644319273607067,-3.171330127040639,-2.652389419042395,-0.7615768293857406,-0.019289418322608724,-0.02680877665473183,48,43,38,37,True,True,0.8662583179649327,0.8475694036146342
58,1.1663662255133866,-2.6485496763013527,-3.8149159018147394,-2.6228177297709268,-1.0786156498244492,-0.0026203557404367722,-0.029798773313814565,49,45,37,37,True,True,0.8660335745820273,0.8475487032021474
59,1.4149162812741616,-2.651653638240902,-4.0665699195150635,-2.761793049516015,-0.9213399618315965,-0.004287252602041886,-0.04112636273158451,48,45,37,38,True,True,0.8663828263840059,0.8475679367802519
