map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Edmonton-Beverly-Clareview,56488831.29077462,11277.878183101071,0.5654808598209455
minority,Edmonton-Castledowns,20859177.16837699,7864.741126472392,0.42937665393692603
minority,Edmonton-City Centre,15186988.45269851,6657.3877356648445,0.43628881388065593
minority,Edmonton-Decore,18145764.041451197,6189.962876232341,0.6029888604315478
minority,Edmonton-Ellerslie,23156150.00278854,8457.82106528306,0.4121539695649762
minority,Edmonton-Enoch-Devon,418406474.4249323,30796.44859987311,0.5617036428201581
minority,Edmonton-Glenora-Riverview,26672798.557441317,8655.389564665064,0.45332061013009545
minority,Edmonton-Gold Bar,56600371.58660483,11571.904612751678,0.5381702803362777
minority,Edmonton-Highlands-Norwood,18774221.96905981,6950.478413704783,0.49481478651320987
minority,Edmonton-Manning,97345552.04047436,16187.19554624334,0.4730238130686902
minority,Edmonton-McClung,27545059.768188607,8160.277857366949,0.526676504139629
minority,Edmonton-Meadows,13435800.447869599,5614.291901361197,0.5427298216894869
minority,Edmonton-Mill Woods,24352600.778612018,8777.448206827044,0.40245647304093046
minority,Edmonton-North West,32000909.843090475,10445.549569522962,0.3734305602200949
minority,Edmonton-Rutherford,26069237.7494551,7932.381084452121,0.5275107457825423
minority,Edmonton-South,54269149.784858644,14298.801821467292,0.33795886460300917
minority,Edmonton-Spruce Grove,234729845.6515797,23505.312226982787,0.5409366199673526
minority,Edmonton-Strathcona,26230415.851829637,8209.529190806672,0.49554008573412733
minority,Edmonton-West Henday,61493053.688558735,14981.541275236756,0.34883751865608154
minority,Edmonton-Whitemud,27052844.360973287,9073.717944466247,0.4183622618443997
minority,Edmonton-Windermere,55196902.77346191,13181.148866036907,0.4044997876295888
minority,Airdrie-East,1079586070.1562674,58805.01969933222,0.39750133474457716
minority,Barrhead-Westlock-Athabasca,16355153741.900434,222852.50973697938,0.41930466165363833
minority,Camrose,11350065356.091276,166402.62281130627,0.5219010208593327
minority,Canmore-Kananaskis,11890461191.029367,222742.39499349892,0.3051427447449371
minority,Cold Lake-Bonnyville-St. Paul,16458381920.360815,219134.51052423567,0.43639091284669923
minority,Central Peace-Notley,48044352022.66192,425204.1016294826,0.3383432905053209
minority,Chestermere-Strathmore,1147212204.3676417,49145.59177061604,0.6047623409066587
minority,Drumheller-Stettler,41271429385.64679,295904.8495242394,0.6001439929700143
minority,Fort McMurray-Lac La Biche,30621463528.78778,280509.10458816774,0.4954982654205597
minority,Fort McMurray-Wood Buffalo,86358803742.80196,490228.0088410191,0.4575309683112258
minority,Fort Saskatchewan-Vegreville,8292956614.467117,167803.54208444245,0.37498790853853475
minority,Grande Prairie,111134420.62590364,16684.82822944474,0.5082942870420532
minority,Grande Prairie-Wapiti,15282399815.423107,181877.10734118707,0.5882278726796181
minority,Highwood,988500448.5397506,46452.45258730742,0.5832700704513915
minority,Lac Ste Anne-Parkland,7930578976.763672,134267.96760645907,0.560105945624845
