ed_name,region,sheet_num,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,total_valid_votes,turnout_pct,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Calgary-South East,Calgary,24,Heinrich Friesen (SM),Justin Huseby (NDP),Matt Jones (UCP),Catriona Wright (GPA),,,104,9442,14087,318,,,23951,0.6290,UCP,58.82,NDP,39.42,19.39
Calgary-Varsity,Calgary,25,Jason Copping (UCP),Oaklan Davidsen (WLC),Kent Liang (SM),Luanne Metz (NDP),,,9377,141,112,13449,,,23079,0.7134,NDP,58.27,UCP,40.63,17.64
Calgary-West,Calgary,26,Joan Chand'oiseau (NDP),Mike Ellis (UCP),Jason McKee (GPA),,,,9468,12793,313,,,,22574,0.6666,UCP,56.67,NDP,41.94,14.73
Edmonton-Beverly-Clareview,Edmonton,27,Andrzej (Andy) Gudanowski (IND),Michael Hunter (GPA),Luke Suvanto (UCP),Peggy Wright (NDP),,,222,337,5690,8510,,,14759,0.4918,NDP,57.66,UCP,38.55,19.11
Edmonton-Castle Downs,Edmonton,28,Jon Dziadyk (UCP),Nicole Goehring (NDP),Patrick Stewart (AP),,,,7286,10044,707,,,,18037,0.5389,NDP,55.69,UCP,40.39,15.29
Edmonton-City Centre,Edmonton,29,David Clark (GPA),David Shepherd (NDP),Richard Wong (UCP),,,,476,12431,3691,,,,16598,0.5291,NDP,74.89,UCP,22.24,52.66
Edmonton-Decore,Edmonton,30,Sayid Ahmed (UCP),Sharif Haji (NDP),Donald Slater (LIB),Brent Tyson (AP),,,6326,8109,295,631,,,15361,0.4785,NDP,52.79,UCP,41.18,11.61
Edmonton-Ellerslie,Edmonton,31,R. Singh Bath (UCP),Rod Loyola (NDP),Angela Stretch (WLC),,,,6817,11429,264,,,,18510,0.5595,NDP,61.75,UCP,36.83,24.92
Edmonton-Glenora,Edmonton,32,David John Bohonos (SM),Melissa Crane (UCP),Sarah Hoffman (NDP),Julian Schulz (GPA),,,150,5056,12443,332,,,17981,0.5712,NDP,69.20,UCP,28.12,41.08
Edmonton-Gold Bar,Edmonton,33,Miles Berry (UCP),Graham Lettner (IND),Ernestina Malheiro (GPA),Marlin Schmidt (NDP),,,6174,321,316,15508,,,22319,0.6468,NDP,69.48,UCP,27.66,41.82
Edmonton-Highlands-Norwood,Edmonton,34,Janis Irwin (NDP),Nick Kalynchuk (UCP),Kristine Kowalchuk (GPA),,,,9491,3350,339,,,,13282,0.4625,NDP,71.46,UCP,25.22,46.24
Edmonton-Manning,Edmonton,35,Albert Mazzocca (UCP),Heather Sweet (NDP),Derek Thompson (GPA),,,,6769,10547,333,,,,17649,0.5102,NDP,59.76,UCP,38.35,21.41
Edmonton-McClung,Edmonton,36,Lorne Dach (NDP),Daniel Heikkinen (UCP),Andrew J. Lineker (IND),Terry Syvenky (GPA),,,9603,6029,309,199,,,16140,0.5755,NDP,59.50,UCP,37.35,22.14
Edmonton-Meadows,Edmonton,37,Jasvir Deol (NDP),Amritpal Singh Matharu (UCP),,,,,11013,6378,,,,,17604,0.5540,NDP,62.56,UCP,36.23,26.33
