map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,polsby_popper_lo,polsby_popper_hi,reock,reock_lo,reock_hi,refined_note
2026_refined_majority,Edmonton-Whitemud,A,high,22.039743329652328,31.235392775122698,0.2838719320857487,0.25387193208574865,0.3138719320857487,0.360737061888727,0.310737061888727,0.410737061888727,unrefined
2026_refined_majority,Camrose,A,high,10636.570655675137,722.3722540262208,0.2561470627647195,0.2261470627647195,0.28614706276471946,0.46569423887952577,0.4156942388795258,0.5156942388795258,unrefined
2026_refined_majority,Central Peace-Notley,A,high,47311.93162058979,1506.0844200736044,0.2621089868285002,0.2321089868285002,0.2921089868285002,0.30755469875720143,0.25755469875720144,0.3575546987572014,unrefined
2026_refined_majority,Drumheller-Stettler,A,high,36548.494011877985,1093.1824633027632,0.3843209313121662,0.35432093131216624,0.4143209313121662,0.5203428390566823,0.47034283905668234,0.5703428390566824,unrefined
2026_refined_majority,Fort McMurray-Wood Buffalo,A,high,86353.31538184448,1519.0501324294498,0.4702671757487431,0.4402671757487431,0.5002671757487431,0.43220586437265784,0.38220586437265786,0.48220586437265783,unrefined
2026_refined_majority,Fort Saskatchewan-Vegreville,A,high,9118.35047191751,560.4086984209488,0.3648517297003723,0.33485172970037225,0.3948517297003723,0.34639796402671696,0.296397964026717,0.39639796402671695,unrefined
2026_refined_majority,Grande Prairie,A,high,111.13441968098037,59.3009980498282,0.39713159922888885,0.3671315992288888,0.4271315992288889,0.4730062302837328,0.4230062302837328,0.5230062302837328,unrefined
2026_refined_majority,Grande Prairie-Wapiti,A,high,16018.21503516566,722.1290923949646,0.386006217503667,0.356006217503667,0.41600621750366695,0.4812759823822126,0.4312759823822126,0.5312759823822126,unrefined
2026_refined_majority,Lacombe-Clearwater,A,high,3666.0907729195146,319.6835038579059,0.4507882887280693,0.4207882887280693,0.48078828872806934,0.5047725650998597,0.4547725650998597,0.5547725650998597,unrefined
2026_refined_majority,Lesser Slave Lake,A,high,69566.09043849385,1195.9141164241958,0.6112339613607735,0.5812339613607734,0.6412339613607735,0.6292467905582947,0.5792467905582946,0.6792467905582947,unrefined
2026_refined_majority,Livingstone-Macleod,A,high,14146.132273385081,776.5583112802045,0.29478096366967105,0.2647809636696711,0.324780963669671,0.4595274964159141,0.4095274964159141,0.5095274964159141,unrefined
2026_refined_majority,Lloydminster-Wainwright,A,high,10090.974332164466,528.3279568368033,0.45429272376058033,0.42429272376058036,0.4842927237605803,0.38968619729876525,0.33968619729876526,0.43968619729876524,unrefined
2026_refined_majority,Medicine Hat-Cypress,A,high,6113.4688897793885,411.1505074319066,0.4544602565965968,0.4244602565965968,0.48446025659659675,0.3837370549576378,0.33373705495763784,0.4337370549576378,unrefined
2026_refined_majority,Peace River,A,high,109221.98362246608,1693.9775977302168,0.4783046449051294,0.44830464490512945,0.5083046449051294,0.5022304119676733,0.4522304119676733,0.5522304119676733,unrefined
2026_refined_majority,Red Deer-North,A,high,71.8067619399649,46.435051945439604,0.41848831450645185,0.3884883145064518,0.4484883145064519,0.42148141110792925,0.37148141110792926,0.47148141110792924,unrefined
2026_refined_majority,Red Deer-South,A,high,35.04143599512207,28.27045946873485,0.5509675551709581,0.520967555170958,0.5809675551709581,0.41429272022898517,0.3642927202289852,0.46429272022898516,unrefined
2026_refined_majority,Sherwood Park,A,high,62.74204777367642,45.14083089716479,0.38692737369840513,0.3569273736984051,0.41692737369840516,0.43693300214299097,0.386933002142991,0.48693300214299096,unrefined
2026_refined_majority,Spruce Grove,A,high,68.47327197135337,45.36557048938801,0.41809809779487644,0.3880980977948765,0.4480980977948764,0.3511870719550897,0.3011870719550897,0.4011870719550897,unrefined
2026_refined_majority,St. Albert,A,high,38.86205754699153,35.858886956330586,0.379788704758234,0.349788704758234,0.40978870475823403,0.45137653385429555,0.40137653385429556,0.5013765338542956,unrefined
2026_refined_majority,Strathcona-Sherwood Park,A,high,642.6042363172512,124.55081992236148,0.5205473819657017,0.4905473819657017,0.5505473819657017,0.49646704179939183,0.44646704179939184,0.5464670417993919,unrefined
2026_refined_majority,West Yellowhead,A,high,48312.78558996547,1570.3429383423907,0.24619709872483342,0.21619709872483342,0.27619709872483345,0.44423873537986164,0.39423873537986165,0.4942387353798616,unrefined
2026_refined_majority,Wetaskiwin-Ponoka-Maskwacis,A,high,4219.521190295812,359.4883311680612,0.41030181714838615,0.3803018171483862,0.4403018171483861,0.43367820421600967,0.3836782042160097,0.48367820421600966,unrefined
2026_refined_minority,Airdrie East,A,high,714.2497346856494,144.00105764508152,0.43284119562997914,0.4028411956299791,0.46284119562997916,0.3244316516853027,0.2744316516853027,0.3744316516853027,unrefined
2026_refined_minority,Medicine Hat-Brooks,A,high,13741.637276091753,753.6070934004484,0.3040593686976302,0.27405936869763015,0.3340593686976302,0.39576761839078456,0.34576761839078457,0.44576761839078455,unrefined
2026_refined_minority,Calgary-Acadia,A,high,40.01907229345469,37.73056787500512,0.35325652898000537,0.32325652898000534,0.3832565289800054,0.30794026227424576,0.25794026227424577,0.35794026227424575,unrefined
2026_refined_minority,Calgary-Beddington,A,high,27.63926399550034,27.18773344822112,0.4698836474464151,0.43988364744641506,0.4998836474464151,0.47863325014952474,0.42863325014952475,0.5286332501495248,unrefined
2026_refined_minority,Calgary-Buffalo,A,high,10.555415893432473,21.444322366873138,0.2884433687967345,0.25844336879673446,0.3184433687967345,0.26412066793420363,0.21412066793420365,0.3141206679342036,unrefined
2026_refined_minority,Calgary-Cross,A,high,15.797321777851666,19.62944099128248,0.5152019102930326,0.4852019102930326,0.5452019102930327,0.4105139868457583,0.3605139868457583,0.4605139868457583,unrefined
2026_refined_minority,Calgary-Currie,A,high,15.929957553319134,21.40937001266997,0.4367337015645022,0.40673370156450217,0.4667337015645022,0.5389264522774292,0.4889264522774292,0.5889264522774292,unrefined
