map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Wetaskawin-Ponoka-Maskwacis,5591196564.506223,116819.27961234748,0.5216579516558703
majority,Airdrie-East,714249729.6318877,52134.19466878474,0.33459146985102456
majority,Airdrie-West,119444705.19705649,18657.17977209098,0.43690300230035317
majority,Barrhead-Westlock-Athabasca,25921582590.076538,321452.3986583057,0.3194024845201081
majority,Calgary-Acadia,152691081.9102817,19915.835045745596,0.4901474526421623
majority,Calgary-Beddington,42624505.17006809,13673.959809999913,0.2902557759257187
majority,Calgary-Bhullar-McCall,42786497.85516877,10259.225142607465,0.5175922172972649
majority,Calgary-Bow,43256537.280899696,13092.553962004356,0.3213017747281498
majority,Calgary-Buffalo,4628818.391001272,5385.9819624226075,0.2031657385183657
majority,Calgary-Confluence,2026124.349011006,5027.175093671307,0.10207706888669635
majority,Calgary-Cross,22077795.56860504,7730.56112227455,0.47037452165162386
majority,Calgary-Currie,26519480.914201003,8559.220502635464,0.4608999999167411
majority,Calgary-East,17935229.599607706,8165.181839141995,0.342519528448109
majority,Calgary-Edgemont,34504370.12379833,10081.995351782069,0.43220644294506017
majority,Calgary-Elbow,31932366.21928472,9204.263802096568,0.47991365284361664
majority,Calgary-Falconridge-Conrich,5466408.750831239,6334.623272601515,0.17344853563693313
majority,Calgary-Fish Creek,32834026.41348688,11089.924876217025,0.33992026245809004
majority,Calgary-Glenmore-Tsuut'ina,44918920.67529941,24376.041866699234,0.09625273012355211
majority,Calgary-Hays,27630835.421029583,18906.11513795145,0.09842366614368263
majority,Calgary-Klein,45473563.749115035,12622.439593194053,0.36339797902932325
majority,Calgary-Lougheed,105461714.39773214,18623.833068554028,0.3871388940795023
majority,Calgary-McKenzie,890697.3211129142,1626.7929595410824,0.42852453899307996
majority,Calgary-Mountain View,17842436.593280125,8368.41514207609,0.32439776056303576
majority,Calgary-North,26460824.578961197,8542.212133059948,0.46171372825501655
majority,Calgary-North East,123777651.97457203,21653.287519533187,0.3361279860317102
majority,Calgary-North West,23327778.396500833,14243.418281907216,0.14640470814086576
majority,Calgary-Nose Creek,12784913.183798172,6822.175206015738,0.3497535767787156
majority,Calgary-Shaw,40160373.44708531,11493.384500201792,0.38709003346774556
majority,Calgary-South East,68569323.106593,11778.020674158237,0.6293545209603116
majority,Calgary-Symons Valley,92132477.78980239,15409.342715012492,0.4940315003051484
majority,Calgary-Varsity,24012559.411019802,9089.484651428167,0.3700582151018121
majority,Calgary-West-Elbow Valley,415332051.8448448,39821.2123083905,0.3334852357343867
majority,Camrose,10636570656.514034,163078.93215703615,0.509232402381856
majority,Canmore-Banff,22549538895.097485,300934.71841430105,0.3170320690954402
majority,Central Peace-Notley,47311931620.59504,425204.101447938,0.33318535820388373
majority,Chestermere-Strathmore,1765391943.1611414,64177.8722104694,0.5457335209573558
majority,Cochrane-Springbank,485149953.9658768,39031.69304948859,0.40546309731225755
majority,Cold Lake-Bonnyville-St. Paul,15870826160.57174,219275.6667376334,0.4202703705066404
majority,Drumheller-Stettler,36548494012.84721,281829.20391208865,0.58587857603267
majority,Edmonton-Beaumont,49386406.599270985,11425.253323656478,0.48171023060839313
majority,Edmonton-Beverly-Clareview,39301302.48303587,10580.34039643794,0.44701055873367385
majority,Edmonton-Castle Downs,20859177.166750014,7864.741126114503,0.42937665394251356
majority,Edmonton-City Centre,33081716.607152756,9299.296752156952,0.487077358336822
majority,Edmonton-Decore,20519406.926257614,9078.50141487547,0.31699075162055984
majority,Edmonton-Ellerslie,64136484.495812416,12650.38206480071,0.5102793404901133
majority,Edmonton-Enoch,35438147.46067068,13763.837326230481,0.23817823213219189
majority,Edmonton-Glenora-Riverview,5749445.380171399,9450.696620976843,0.08196122242844038
majority,Edmonton-Gold Bar,53610011.858331785,11571.904612458253,0.5097372031903894
majority,Edmonton-Highlands-Norwood,16579789.941390015,6750.454691398889,0.4632581721299005
majority,Edmonton-Manning,115331915.24294144,16187.19554589875,0.5604235753511477
majority,Edmonton-McClung,17944610.628245477,6527.993010893959,0.5361481308956922
majority,Edmonton-Meadows,18551692.96861467,6432.604792943574,0.5708472677779787
majority,Edmonton-Mill Woods,26559759.1096599,7331.431407129392,0.6291536189802116
majority,Edmonton-North West,202009946.92616737,32135.798823544756,0.24906039540785885
majority,Edmonton-Rutherford,35003161.05383565,11975.281781993806,0.3107748763298415
majority,Edmonton-South,72704194.9866991,15028.560430495942,0.40985932905453815
majority,Edmonton-Strathcona,15469617.76894569,7167.6717574969225,0.383383558742983
majority,Edmonton-West Henday,76193829.03052582,17769.287025999423,0.3072485999654677
majority,Edmonton-Whitemud,22039743.33848763,8456.455950497184,0.3924098221250345
majority,Edmonton-Windermere,87601428.82703774,19910.69817938673,0.28135091397580436
majority,Fort McMurray-Lac La Biche,32317748155.806915,300537.3173705097,0.4555692473261397
majority,Fort McMurray-Wood Buffalo,86352797702.50253,490228.0088407025,0.4574991481694014
majority,Fort Saskatchewan-Vegreville,9118350470.195086,171179.33597490238,0.3962084417325759
