ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Edmonton-Ellerslie,67877,81794,20.50326325559468,38.57168803448887,44.598876627786325,fail,fail,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 14.1% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Glenora,42945,51748,20.498311794155317,-12.32728107251168,-8.51770707222184,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 16.3% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Gold Bar,44509,53631,20.49473140263767,-9.134356811186922,-5.188860400215072,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 8.1% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Highlands-Norwood,40549,48862,20.50112209918864,-17.218743048300762,-13.619699369307096,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.7% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Manning,56138,67647,20.501264740461007,14.60638246946884,19.589214456315396,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 6.2% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-McClung,41987,50595,20.501583823564438,-14.283049258156897,-10.556029012117648,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 18.2% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Meadows,54321,65457,20.50035897719114,10.896955754106251,15.71764025998251,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 7.0% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Mill Woods,47886,57702,20.498684375391555,-2.2401718812037332,2.008024783927018,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.2% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-North West,50382,60694,20.46762732722004,2.855441262189231,7.2974083434831805,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 16.6% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Riverview,43865,52857,20.49925909039097,-10.44909033055594,-6.557170184672448,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 16.2% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Rutherford,45492,54818,20.50030774641695,-7.1275508336407345,-3.0904318289606723,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.6% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-South,68991,83134,20.49977533301445,40.84593204159615,46.96778504015439,fail,fail,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.5% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-South West,65504,78931,20.497984855886664,33.72718082724869,39.53754469897306,fail,fail,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.1% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Strathcona,44061,53093,20.498853861691746,-10.048954042052326,-6.139959449359863,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 18.9% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-West Henday,55722,67144,20.498187430458348,13.75711361223668,18.69998988062798,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.9% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Whitemud,45494,54821,20.50160460720095,-7.123467810288657,-3.0851283026643257,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 3.3% of Plan A from split DAs (APPROXIMATE if >5%)
Fort McMurray-Lac La Biche,40624,40816,0.47262701851122485,-17.065629672597847,-27.84375689610819,pass,fail,True,DA-level area-weighted overlay; per-CSD Plan B growth factors; 17.8% of Plan A from split DAs (APPROXIMATE if >5%)
Fort McMurray-Wood Buffalo,44916,44508,-0.9083622762489982,-8.303461559039112,-21.31688386740453,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 10.9% of Plan A from split DAs (APPROXIMATE if >5%)
Fort Saskatchewan-Vegreville,53931,59854,10.982551779125178,10.100766200451101,5.812420980506182,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 25.2% of Plan A from split DAs (APPROXIMATE if >5%)
Grande Prairie,46589,49617,6.499388267616819,-4.888012525026119,-12.28497858472658,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 8.0% of Plan A from split DAs (APPROXIMATE if >5%)
Grande Prairie-Wapiti,50214,53473,6.490221850479946,2.5124673006147047,-5.46817945182265,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 19.3% of Plan A from split DAs (APPROXIMATE if >5%)
Highwood,50689,57356,13.152755035609303,3.4821853467331576,1.3963514177483982,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 14.4% of Plan A from split DAs (APPROXIMATE if >5%)
Innisfail-Sylvan Lake,48968,54100,10.480313674236235,-0.03125624772969975,-4.359742455886248,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 17.8% of Plan A from split DAs (APPROXIMATE if >5%)
Lac Ste. Anne-Parkland,45863,49835,8.660576063493448,-6.370150001830323,-11.899589007192073,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 27.5% of Plan A from split DAs (APPROXIMATE if >5%)
