DAUID,DGUID,GEO_NAME,population_2021
48020160,2021S051248020160,48020160,550
48020161,2021S051248020161,48020161,604
48020162,2021S051248020162,48020162,534
48020163,2021S051248020163,48020163,521
48020165,2021S051248020165,48020165,821
48020166,2021S051248020166,48020166,654
48020167,2021S051248020167,48020167,420
48020169,2021S051248020169,48020169,1304
48020170,2021S051248020170,48020170,1781
48020171,2021S051248020171,48020171,237
48020172,2021S051248020172,48020172,419
48020173,2021S051248020173,48020173,219
48020203,2021S051248020203,48020203,1032
48020204,2021S051248020204,48020204,430
48020205,2021S051248020205,48020205,769
48020207,2021S051248020207,48020207,391
48020239,2021S051248020239,48020239,755
48020240,2021S051248020240,48020240,735
48020299,2021S051248020299,48020299,25
48020304,2021S051248020304,48020304,250
48020359,2021S051248020359,48020359,864
48020360,2021S051248020360,48020360,714
48020361,2021S051248020361,48020361,867
48020365,2021S051248020365,48020365,457
48020366,2021S051248020366,48020366,472
48020368,2021S051248020368,48020368,1691
48020369,2021S051248020369,48020369,514
48020370,2021S051248020370,48020370,4266
48020371,2021S051248020371,48020371,604
48020372,2021S051248020372,48020372,576
48020373,2021S051248020373,48020373,400
48020374,2021S051248020374,48020374,637
48020375,2021S051248020375,48020375,852
48020376,2021S051248020376,48020376,580
48020377,2021S051248020377,48020377,1272
48020378,2021S051248020378,48020378,375
48020379,2021S051248020379,48020379,658
48020382,2021S051248020382,48020382,530
48020383,2021S051248020383,48020383,467
48020384,2021S051248020384,48020384,529
48020385,2021S051248020385,48020385,483
48020401,2021S051248020401,48020401,2091
48020402,2021S051248020402,48020402,508
48020403,2021S051248020403,48020403,572
48020427,2021S051248020427,48020427,514
48020428,2021S051248020428,48020428,897
48020429,2021S051248020429,48020429,852
48020430,2021S051248020430,48020430,1143
48020431,2021S051248020431,48020431,1134
48020432,2021S051248020432,48020432,601
48020433,2021S051248020433,48020433,3633
48020434,2021S051248020434,48020434,3377
48020436,2021S051248020436,48020436,994
48020301,2021S051248020301,48020301,463
48020302,2021S051248020302,48020302,364
48020409,2021S051248020409,48020409,2042
48020406,2021S051248020406,48020406,1438
48020296,2021S051248020296,48020296,313
48020287,2021S051248020287,48020287,838
48020288,2021S051248020288,48020288,512
48020289,2021S051248020289,48020289,580
48020308,2021S051248020308,48020308,560
48020309,2021S051248020309,48020309,687
48020310,2021S051248020310,48020310,568
48020313,2021S051248020313,48020313,434
48020314,2021S051248020314,48020314,950
48020318,2021S051248020318,48020318,507
48020417,2021S051248020417,48020417,957
48020418,2021S051248020418,48020418,674
48020419,2021S051248020419,48020419,805
48020420,2021S051248020420,48020420,1166
48020425,2021S051248020425,48020425,777
48020426,2021S051248020426,48020426,686
48020277,2021S051248020277,48020277,678
48020278,2021S051248020278,48020278,460
48020281,2021S051248020281,48020281,883
48020283,2021S051248020283,48020283,736
48020320,2021S051248020320,48020320,584
48020321,2021S051248020321,48020321,773
48020336,2021S051248020336,48020336,794
48020337,2021S051248020337,48020337,515
48020338,2021S051248020338,48020338,1059
48020394,2021S051248020394,48020394,558
48020395,2021S051248020395,48020395,407
48020323,2021S051248020323,48020323,412
48020324,2021S051248020324,48020324,539
48020325,2021S051248020325,48020325,1386
48020326,2021S051248020326,48020326,582
48020327,2021S051248020327,48020327,617
48020328,2021S051248020328,48020328,665
48020329,2021S051248020329,48020329,650
48020330,2021S051248020330,48020330,1014
48020331,2021S051248020331,48020331,455
48020332,2021S051248020332,48020332,619
48020333,2021S051248020333,48020333,649
48020334,2021S051248020334,48020334,702
48020335,2021S051248020335,48020335,572
48020322,2021S051248020322,48020322,978
48020279,2021S051248020279,48020279,695
48020280,2021S051248020280,48020280,591
48020241,2021S051248020241,48020241,713
48020244,2021S051248020244,48020244,771
48020246,2021S051248020246,48020246,467
48020248,2021S051248020248,48020248,641
48020249,2021S051248020249,48020249,610
48020268,2021S051248020268,48020268,602
48020270,2021S051248020270,48020270,839
48020271,2021S051248020271,48020271,602
48020272,2021S051248020272,48020272,318
48020273,2021S051248020273,48020273,416
48020274,2021S051248020274,48020274,404
48020275,2021S051248020275,48020275,395
48020276,2021S051248020276,48020276,687
48020250,2021S051248020250,48020250,1155
48020251,2021S051248020251,48020251,836
48020252,2021S051248020252,48020252,684
48020253,2021S051248020253,48020253,858
48020254,2021S051248020254,48020254,585
48020255,2021S051248020255,48020255,933
48020256,2021S051248020256,48020256,672
48020257,2021S051248020257,48020257,1229
48020258,2021S051248020258,48020258,1464
48020259,2021S051248020259,48020259,448
48020260,2021S051248020260,48020260,529
48020261,2021S051248020261,48020261,494
48020262,2021S051248020262,48020262,563
48020263,2021S051248020263,48020263,421
48020264,2021S051248020264,48020264,576
48020265,2021S051248020265,48020265,459
48020266,2021S051248020266,48020266,1304
48020267,2021S051248020267,48020267,724
48020269,2021S051248020269,48020269,990
48020247,2021S051248020247,48020247,1053
48020245,2021S051248020245,48020245,370
48020242,2021S051248020242,48020242,628
48020243,2021S051248020243,48020243,588
48030120,2021S051248030120,48030120,572
48030131,2021S051248030131,48030131,546
48030132,2021S051248030132,48030132,327
48030133,2021S051248030133,48030133,496
48030134,2021S051248030134,48030134,431
48030135,2021S051248030135,48030135,548
48030140,2021S051248030140,48030140,742
48030143,2021S051248030143,48030143,0
48030144,2021S051248030144,48030144,0
48030147,2021S051248030147,48030147,643
48030149,2021S051248030149,48030149,551
48030136,2021S051248030136,48030136,595
48030137,2021S051248030137,48030137,548
48030138,2021S051248030138,48030138,580
48030139,2021S051248030139,48030139,758
48030170,2021S051248030170,48030170,158
48030125,2021S051248030125,48030125,474
48030126,2021S051248030126,48030126,494
48030127,2021S051248030127,48030127,511
48030128,2021S051248030128,48030128,819
48030129,2021S051248030129,48030129,528
48030130,2021S051248030130,48030130,406
48030148,2021S051248030148,48030148,492
48030121,2021S051248030121,48030121,272
48030150,2021S051248030150,48030150,168
48030151,2021S051248030151,48030151,430
48030152,2021S051248030152,48030152,460
48030160,2021S051248030160,48030160,530
48030165,2021S051248030165,48030165,0
48030167,2021S051248030167,48030167,597
48030168,2021S051248030168,48030168,694
48030169,2021S051248030169,48030169,529
48030153,2021S051248030153,48030153,403
48030154,2021S051248030154,48030154,465
48030155,2021S051248030155,48030155,565
48030156,2021S051248030156,48030156,498
48030157,2021S051248030157,48030157,748
48030158,2021S051248030158,48030158,433
48030159,2021S051248030159,48030159,510
48030166,2021S051248030166,48030166,216
48030091,2021S051248030091,48030091,611
48030092,2021S051248030092,48030092,496
48030093,2021S051248030093,48030093,543
48030103,2021S051248030103,48030103,445
48030104,2021S051248030104,48030104,557
48030106,2021S051248030106,48030106,578
48030107,2021S051248030107,48030107,482
48030114,2021S051248030114,48030114,441
48030115,2021S051248030115,48030115,439
48030142,2021S051248030142,48030142,584
48030172,2021S051248030172,48030172,360
48030176,2021S051248030176,48030176,545
48030108,2021S051248030108,48030108,667
48030109,2021S051248030109,48030109,493
48030110,2021S051248030110,48030110,484
48030111,2021S051248030111,48030111,658
48030112,2021S051248030112,48030112,392
48030113,2021S051248030113,48030113,603
48030096,2021S051248030096,48030096,575
48030097,2021S051248030097,48030097,508
48030098,2021S051248030098,48030098,439
48030099,2021S051248030099,48030099,474
48030100,2021S051248030100,48030100,756
48030102,2021S051248030102,48030102,604
48030174,2021S051248030174,48030174,448
48030094,2021S051248030094,48030094,544
48030087,2021S051248030087,48030087,892
48030088,2021S051248030088,48030088,422
48030089,2021S051248030089,48030089,393
48030090,2021S051248030090,48030090,460
48030161,2021S051248030161,48030161,5
48030162,2021S051248030162,48030162,530
48030163,2021S051248030163,48030163,515
48030164,2021S051248030164,48030164,500
48030116,2021S051248030116,48030116,602
48030117,2021S051248030117,48030117,349
48030118,2021S051248030118,48030118,655
48030119,2021S051248030119,48030119,873
48030122,2021S051248030122,48030122,488
48030123,2021S051248030123,48030123,416
48030124,2021S051248030124,48030124,638
48030141,2021S051248030141,48030141,551
48030145,2021S051248030145,48030145,0
48030146,2021S051248030146,48030146,0
48030171,2021S051248030171,48030171,0
48030175,2021S051248030175,48030175,16
48040060,2021S051248040060,48040060,494
48040048,2021S051248040048,48040048,322
48040054,2021S051248040054,48040054,331
48040056,2021S051248040056,48040056,475
48040057,2021S051248040057,48040057,392
48040058,2021S051248040058,48040058,340
48040059,2021S051248040059,48040059,148
48040049,2021S051248040049,48040049,381
48040050,2021S051248040050,48040050,454
48040051,2021S051248040051,48040051,401
48040052,2021S051248040052,48040052,400
48040053,2021S051248040053,48040053,417
48040055,2021S051248040055,48040055,341
48040044,2021S051248040044,48040044,288
48040045,2021S051248040045,48040045,111
48040046,2021S051248040046,48040046,358
48040065,2021S051248040065,48040065,385
48040062,2021S051248040062,48040062,438
48040066,2021S051248040066,48040066,479
48040047,2021S051248040047,48040047,171
48040039,2021S051248040039,48040039,445
48040041,2021S051248040041,48040041,455
48040043,2021S051248040043,48040043,336
48040042,2021S051248040042,48040042,214
48040040,2021S051248040040,48040040,644
48050198,2021S051248050198,48050198,539
48050199,2021S051248050199,48050199,474
48050204,2021S051248050204,48050204,356
48050208,2021S051248050208,48050208,409
48050210,2021S051248050210,48050210,642
48050212,2021S051248050212,48050212,572
48050217,2021S051248050217,48050217,529
48050218,2021S051248050218,48050218,716
48050220,2021S051248050220,48050220,269
48050219,2021S051248050219,48050219,351
48050213,2021S051248050213,48050213,253
48050214,2021S051248050214,48050214,361
48050215,2021S051248050215,48050215,379
48050216,2021S051248050216,48050216,776
48050211,2021S051248050211,48050211,178
48050209,2021S051248050209,48050209,136
48050200,2021S051248050200,48050200,188
48050165,2021S051248050165,48050165,517
48050166,2021S051248050166,48050166,391
48050167,2021S051248050167,48050167,407
48050169,2021S051248050169,48050169,519
48050170,2021S051248050170,48050170,306
48050174,2021S051248050174,48050174,619
48050195,2021S051248050195,48050195,971
48050196,2021S051248050196,48050196,810
48050197,2021S051248050197,48050197,574
48050221,2021S051248050221,48050221,272
48050222,2021S051248050222,48050222,395
48050223,2021S051248050223,48050223,410
48050225,2021S051248050225,48050225,627
48050235,2021S051248050235,48050235,530
48050238,2021S051248050238,48050238,753
48050241,2021S051248050241,48050241,637
48050177,2021S051248050177,48050177,2038
48050178,2021S051248050178,48050178,401
48050179,2021S051248050179,48050179,348
48050180,2021S051248050180,48050180,320
48050181,2021S051248050181,48050181,500
48050182,2021S051248050182,48050182,420
48050183,2021S051248050183,48050183,520
48050184,2021S051248050184,48050184,403
48050186,2021S051248050186,48050186,444
48050187,2021S051248050187,48050187,834
48050190,2021S051248050190,48050190,429
48050191,2021S051248050191,48050191,559
48050192,2021S051248050192,48050192,576
48050243,2021S051248050243,48050243,471
48050244,2021S051248050244,48050244,1119
48050245,2021S051248050245,48050245,3907
48050246,2021S051248050246,48050246,1050
48050168,2021S051248050168,48050168,164
48050226,2021S051248050226,48050226,353
48050224,2021S051248050224,48050224,395
48050151,2021S051248050151,48050151,438
48050152,2021S051248050152,48050152,468
48050153,2021S051248050153,48050153,852
48050154,2021S051248050154,48050154,524
48050155,2021S051248050155,48050155,515
48050156,2021S051248050156,48050156,448
48050157,2021S051248050157,48050157,866
48050158,2021S051248050158,48050158,648
48050159,2021S051248050159,48050159,538
48050160,2021S051248050160,48050160,709
48050161,2021S051248050161,48050161,463
48050162,2021S051248050162,48050162,619
48050163,2021S051248050163,48050163,321
48050164,2021S051248050164,48050164,500
48050227,2021S051248050227,48050227,342
48050230,2021S051248050230,48050230,387
48050231,2021S051248050231,48050231,393
48050232,2021S051248050232,48050232,454
48050234,2021S051248050234,48050234,245
48050233,2021S051248050233,48050233,152
48050228,2021S051248050228,48050228,170
48050229,2021S051248050229,48050229,205
48050129,2021S051248050129,48050129,380
48050130,2021S051248050130,48050130,519
48050133,2021S051248050133,48050133,409
48050141,2021S051248050141,48050141,622
48050143,2021S051248050143,48050143,329
48050144,2021S051248050144,48050144,433
48050146,2021S051248050146,48050146,531
48050147,2021S051248050147,48050147,463
48050149,2021S051248050149,48050149,412
48050150,2021S051248050150,48050150,373
48050249,2021S051248050249,48050249,521
48050148,2021S051248050148,48050148,492
48050145,2021S051248050145,48050145,606
48050142,2021S051248050142,48050142,704
48050134,2021S051248050134,48050134,609
48050136,2021S051248050136,48050136,310
48050137,2021S051248050137,48050137,479
48050139,2021S051248050139,48050139,344
48050250,2021S051248050250,48050250,760
48050251,2021S051248050251,48050251,540
48050131,2021S051248050131,48050131,545
48050132,2021S051248050132,48050132,453
48050171,2021S051248050171,48050171,713
48050172,2021S051248050172,48050172,394
48050173,2021S051248050173,48050173,724
48050201,2021S051248050201,48050201,5
48050202,2021S051248050202,48050202,1255
48050203,2021S051248050203,48050203,485
48050205,2021S051248050205,48050205,0
48050206,2021S051248050206,48050206,0
48050207,2021S051248050207,48050207,0
48061892,2021S051248061892,48061892,695
48061893,2021S051248061893,48061893,1390
48061894,2021S051248061894,48061894,639
48061902,2021S051248061902,48061902,789
48061903,2021S051248061903,48061903,594
48061913,2021S051248061913,48061913,507
48061914,2021S051248061914,48061914,492
48061938,2021S051248061938,48061938,929
48061940,2021S051248061940,48061940,924
48061941,2021S051248061941,48061941,1048
48062033,2021S051248062033,48062033,458
48062034,2021S051248062034,48062034,902
48062058,2021S051248062058,48062058,667
48062059,2021S051248062059,48062059,472
48062060,2021S051248062060,48062060,454
48062061,2021S051248062061,48062061,420
48062062,2021S051248062062,48062062,400
48062063,2021S051248062063,48062063,503
48062064,2021S051248062064,48062064,859
48062065,2021S051248062065,48062065,541
48062083,2021S051248062083,48062083,761
48062084,2021S051248062084,48062084,805
