ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-South East,10490.304251481799,7132.31102891488,301.19450805551645,17923.809788452196
Calgary-Varsity,9500.30775100989,13587.70126924809,261.343533563664,23349.352553821645
Calgary-West-Tsuut'ina,12813.007402962645,9510.692377046746,319.16450672879,22642.86428673818
Edmonton-Beaumont,3237.75433813674,2675.8004619714866,144.50503044822116,6058.059830556447
Edmonton-Beverly-Clareview,31071.43588579222,58544.53907104956,3114.002825383586,92729.97778222538
Edmonton-Castledowns,4858.332809044726,6738.376869385293,450.1207506897405,12046.83042911976
Edmonton-City Centre,928.9669653262066,2979.077587990792,142.8794108867899,4050.9239642037887
Edmonton-Decore,950.4089571468731,1238.0549863683234,106.2625040135676,2294.7264475287643
Edmonton-Ellerslie,577.6146020835645,829.5660074164099,25.428725111239483,1432.6093346112136
Edmonton-Enoch-Devon,312.0088626694415,647.2052642689566,29.971171580661824,989.1852985190599
Edmonton-Glenora-Riverview,15758.280943440628,28599.185415301792,1531.4478219031141,45888.91418064554
Edmonton-Gold Bar,9694.422652926249,18600.90309259433,770.889661339085,29066.215406859665
Edmonton-Highlands-Norwood,13808.414875764347,24684.783188253965,472.13633695171234,38965.33440097002
Edmonton-Manning,1792.8743133453704,2673.95234228712,83.00035965642297,4549.827015288914
Edmonton-McClung,242.49438272310113,380.47845914452756,16.804898971973962,639.7777408396026
Edmonton-Meadows,7000.668590305337,11718.344277140546,243.40700810786632,18962.41987555375
Edmonton-Mill Woods,482.81349311156197,415.9126837625403,15.988363911190259,914.7145407852926
Edmonton-North West,2693.507130883545,4203.168075939397,132.10169497687565,7028.776901799817
Edmonton-Rutherford,5243.1983887508495,10691.384932182844,513.9925185962259,16448.57583952992
Edmonton-South,8336.972773397742,12517.571396192283,324.6822051384648,21179.22637472849
Edmonton-Spruce Grove,14370.260965414724,10199.333427816766,645.3349640506602,25214.92935728215
Edmonton-Strathcona,3045.3004474304016,13998.264984414538,523.8398009400047,17567.405232784942
Edmonton-West Henday,6097.8835027662135,8518.008227135977,580.3479121526171,15196.239642054808
Edmonton-Whitemud,7798.325131567639,12802.748378498973,591.4879689305023,21192.561478997115
Edmonton-Windermere,9092.212580005307,12052.92070096537,273.08288403141336,21418.21616500209
Airdrie East,12774.02498112482,7275.786489548448,532.5878131620157,20582.399283835282
Barrhead-Westlock-Athabasca,14019.477439365854,4926.663710611425,9.915132835366833,18956.056282812646
Camrose,14505.908993481966,6119.73212417547,2050.3784901855674,22676.019607843005
Canmore-Kananaskis,7935.572382603761,8959.779580452425,358.9137283779634,17254.26569143415
Cold Lake-Bonnyville-St. Paul,14022.944386491774,4542.405395232418,0.0,18565.34978172419
Central Peace-Notley,9788.273237286581,2320.3891328341515,473.1513350039453,12581.813705124678
Chestermere-Strathmore,14783.686354463533,5841.934235930446,546.826609312589,21172.447199706567
Drumheller-Stettler,17282.714025555535,3218.259409644324,808.9358390292613,21309.90927422912
Fort McMurray-Lac La Biche,7323.828542097808,2424.005341984155,192.08486716463318,9939.918751246596
Fort McMurray-Wood Buffalo,6483.0,1884.0,1211.0,9578.0
Fort Saskatchewan-Vegreville,13429.023821890944,8747.157126025639,1088.7651205535801,23264.946068470163
Grande Prairie,9991.663180779866,4878.927407890958,748.7059678694837,15619.296556540308
Grande Prairie-Wapiti,14594.062665818843,3969.6830424654777,623.1426338200711,19186.888342104394
Highwood,14552.583929017857,6219.515895436011,474.8214787138005,21246.92130316767
Lac Ste. Anne-Parkland,16918.762984397406,6425.103840120014,880.2605330630665,24224.127357580484
Leduc,12355.27874110945,8422.268655205178,621.8326354468862,21399.380031761513
Lesser Slave Lake,5873.931414135266,2852.504157373547,143.99999999999997,8870.435571508813
Lethbridge-Cardston,8668.99985608499,2081.057440260483,982.3753950940534,11732.432691439528
Lethbridge-Fort MacLeod-Crowsnest Pass,28078.229568975363,19140.699147378204,2632.408257260448,49851.33697361401
Lethbridge-Little Bow,22784.13571179707,12861.93144051258,1690.144800342057,37336.21195265171
Lethbridge-Taber-Warner,1.7588502150169037e-07,4.748380736278875e-08,1.0716279522514033e-08,2.3408510838699317e-07
Lloydminster-Wainwright,13582.619608994119,3254.931308928981,1459.5985718003255,18297.149489723426
Medicine Hat-Brooks,13217.178164124945,5431.947939424465,1225.1125486166234,19874.238652166034
Medicine Hat-Cypress,13586.914257319137,7742.069368372425,616.8978938418392,21945.881519533403
Olds-Three Hills-Didsbury,16626.73664429996,4215.020982665646,1293.11772003722,22134.875347002824
Peace River,8236.0,2587.0,484.0,11307.0
Red Deer-Blackfalds,13463.787324980734,9972.225600217114,579.8021086498208,24015.81503384767
Red Deer-Innisfail,13345.049396132006,8009.561706910758,862.9145643539429,22217.525667396705
Red Deer-Lacombe,13688.814559399209,4863.281836983693,1796.4316949473512,20348.528091330252
Red Deer-Sylvan Lake,14041.601420970483,4836.369960383768,834.7548678891063,19712.72624924336
Rocky Mountain House-Banff Park,13228.353304510123,2656.9071763200495,3044.066687852335,18929.327168682506
Sherwood Park,11405.636621324495,13062.638069938404,1512.611293732781,25980.885984995683
St. Albert,10237.93397230935,15062.493921536468,457.25033753142935,25757.67823137725
St. Albert-Sturgeon,13438.33172409203,11692.19270393919,817.9490337142,25948.47346174542
Stony Plain-Drayton Valley,18043.247209465728,8226.690983812285,951.0610470035422,27220.999240281555
Sherwood Park-Strathcona,9295.800992373075,7765.854618185747,422.9067882936962,17484.562398852522
West Yellowhead,13647.239736199197,5443.808253467696,0.0,19091.04798966689
Wetaskawin-Ponoka-Maskwacis,11971.329430381742,4564.718133895463,1228.70720017969,17764.7547644569
