perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
53,-2.301881156076623,0.7240799561228763,3.025961112199499,-1.5789062189558611,-1.6270650956825283,-0.045213511446272815,-0.027761788952528843,49,44,40,35,True,True,0.9167250433214027,0.8947626261083276
54,-5.512387327640486,0.6590260167839076,6.171413344424394,-1.668033221462184,-2.068811384372482,-0.04556065175455194,-0.03824534178746915,48,46,40,36,True,True,0.916756553367244,0.8950140278765969
55,-2.2202985707158907,0.8377052921508886,3.058003862866779,-1.5270177745357771,-1.9643260300554632,-0.04597188815130307,-0.01347314179034088,49,46,40,34,True,True,0.9168508155788918,0.8948464373077647
56,-2.385514675316449,0.9632503197005658,3.348764995017015,-1.3814558204430893,-1.9923580656825313,-0.04584089195186451,-0.013709384713001194,49,45,40,34,True,True,0.9167444322416333,0.895409086214439
57,-2.333465596840808,0.7813379225850604,3.1148035194258683,-1.7160952079085134,-1.5686923079762327,-0.045769681796222525,-0.011085785730841959,49,45,40,34,True,True,0.9167079718799567,0.894830852178588
58,-5.618522901241435,0.7142939726206619,6.332816873862098,-1.2472435485287314,-1.8277008196424138,-0.05890548114520266,-0.023160192000342573,49,46,41,35,True,True,0.9167950876179984,0.8955793944909047
59,-2.4127601806163796,0.6868649138836301,3.0996250945000097,-1.3866585013140365,-2.0438945020588184,-0.046729038816138754,-0.024838342657462764,49,45,40,35,True,True,0.9167057551951229,0.8947391770835285
60,-2.3328234791140807,0.7334567009134417,3.0662801800275226,-1.5832389844641415,-2.0028600449802814,-0.04580886104009944,-0.02673665976346224,49,45,40,35,True,True,0.9167341873350725,0.8956101899974034
61,-5.582242796895477,0.7748913447518863,6.357134141647363,-1.3767552527283622,-1.9216772566314932,-0.05874299215842192,-0.010779982344521316,49,45,41,34,True,True,0.9166459260231271,0.8948541926392073
62,-2.270817973851613,0.8446893772094306,3.115507351061044,-1.4189004184696985,-1.8812542656954034,-0.04524222631147502,-0.023328502238313824,49,45,40,35,True,True,0.9168099748774415,0.8943104357655373
63,-2.435853182497961,0.9037066085753662,3.3395597910733272,-1.43196956540953,-2.15997404233893,-0.04559321035380864,-0.004698198924519905,49,47,40,33,True,True,0.9166930771175245,0.8953618622970317
64,-5.424828909274774,0.741075383234216,6.165904292508991,-1.5837418135489334,-1.393252614287449,-0.058918823550400866,-0.012142929663146682,49,44,41,34,True,True,0.9167360361219195,0.8953754803011639
65,-5.4701319498340135,0.7004620539204699,6.170594003754483,-1.2998316378929176,-2.1838367491002764,-0.05891502296128083,-0.02668031753750983,49,45,41,35,True,True,0.916790574210684,0.8956309203374906
66,-2.268089770940278,0.6903805928389254,2.9584703637792034,-1.5865796647457353,-1.9598188489492296,-0.04572409130318288,-0.025239562968869676,49,45,40,35,True,True,0.9167402656973295,0.8953373436328109
67,-5.401971426842849,0.4103615755208364,5.812333002363686,-1.431776002265145,-1.8133813131847476,-0.05888978849422338,-0.03763175547767971,49,45,41,36,True,True,0.9168779444569594,0.8956059510651763
68,-2.3365710520552545,0.5348981991723963,2.8714692512276505,-1.6308793068781968,-2.0334692961852086,-0.04619445824621537,-0.03690436215800787,49,45,40,36,True,True,0.9168855442773328,0.8956395729184942
69,-5.639500777452793,0.7320500314854905,6.3715508089382835,-1.4377740507528158,-1.8123483843809407,-0.0597352193575978,-0.013143188374623199,49,45,41,34,True,True,0.9168186963735411,0.8949613036475672
70,-5.5067026165920945,0.7945245164188702,6.301227133010966,-1.4059482498026021,-1.9581608873357526,-0.05891938837132105,-0.013123497937119836,49,45,41,34,True,True,0.9168492041062368,0.8949970626508359
