map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,reock
majority_2026_approx,Calgary-Bhullar-McCall,C,low,,,,
majority_2026_approx,Calgary-Bow,A,high,34.85115034675992,32.662632909844184,0.4105108136088341,0.31718842503845496
majority_2026_approx,Calgary-Buffalo,A,high,10.555415893432473,21.444322366873138,0.2884433687967345,0.28880831367852194
majority_2026_approx,Calgary-Confluence,C,low,,,,
majority_2026_approx,Calgary-Cross,A,high,15.797321777851666,19.62944099128248,0.5152019102930326,0.419185403691037
majority_2026_approx,Calgary-Currie,A,high,15.929957553319134,21.40937001266997,0.4367337015645022,0.5720876782578662
majority_2026_approx,Calgary-East,C,low,,,,
majority_2026_approx,Calgary-Edgemont,A,high,19.16584124233419,19.26628830434078,0.6488460135361873,0.6090599757695948
majority_2026_approx,Calgary-Elbow,A,high,19.042863596009674,28.29736535204806,0.2988478367093223,0.3928288992727916
majority_2026_approx,Calgary-Falconridge-Conrich,C,low,,,,
majority_2026_approx,Calgary-Fish Creek,A,high,28.177906637294715,23.03346526663239,0.6674212489556202,0.6223332608677912
majority_2026_approx,Calgary-Glenmore-Tsuut'ina,C,low,,,,
majority_2026_approx,Calgary-Hays,A,high,24.01215878914781,28.12134282609988,0.38156537755779635,0.25295069937980325
majority_2026_approx,Calgary-Klein,A,high,37.41797659363021,34.309646166679386,0.3994456394604435,0.4135532712820061
majority_2026_approx,Calgary-Lougheed,A,high,33.12296373358274,33.98793947761039,0.3603208394678235,0.3695322439868244
majority_2026_approx,Calgary-McKenzie,C,low,,,,
majority_2026_approx,Calgary-Mountain View,A,high,17.842436590439924,25.561745139293755,0.3431492271846526,0.3243977604730564
majority_2026_approx,Calgary-North,A,high,21.197383564875107,22.002539342481306,0.5502328435516436,0.43848256231255106
majority_2026_approx,Calgary-North East,A,high,66.48363870424147,46.63401090033758,0.38416615859824477,0.40641716011055035
majority_2026_approx,Calgary-North West,A,high,26.219787391216986,36.58373790044401,0.24618573012935763,0.43085348682469726
majority_2026_approx,Calgary-Nose Creek,C,low,,,,
majority_2026_approx,Calgary-Shaw,A,high,40.16037342857354,30.357271632969972,0.5476235712608624,0.38709003326907615
majority_2026_approx,Calgary-South East,A,high,52.53276427680322,32.13641484819958,0.6392125128906907,0.5125214471075821
majority_2026_approx,Calgary-Symons Valley,C,low,,,,
majority_2026_approx,Calgary-Varsity,A,high,24.012559405338944,27.461569899354885,0.4001267571380707,0.37005821499059843
majority_2026_approx,Calgary-West-Elbow Valley,C,low,,,,
majority_2026_approx,Edmonton-Beaumont,C,low,,,,
majority_2026_approx,Edmonton-Beverly-Clareview,A,high,39.301302613584284,34.9937247179736,0.40330765652051376,0.4470105937817856
majority_2026_approx,Edmonton-Castle Downs,A,high,20.85917712238856,21.364812015510672,0.5742604197772444,0.4293766529902935
majority_2026_approx,Edmonton-City Centre,A,high,12.339992257601248,18.80853917260365,0.4383435488186143,0.3981811283240838
majority_2026_approx,Edmonton-Decore,A,high,17.184411816543438,17.584071881923137,0.6984022582395454,0.5199246973766685
majority_2026_approx,Edmonton-Ellerslie,A,high,64.13648294910064,45.083508893758356,0.3965332270225734,0.5102793331516106
majority_2026_approx,Edmonton-Enoch,C,low,,,,
majority_2026_approx,Edmonton-Glenora-Riverview,C,low,,,,
majority_2026_approx,Edmonton-Gold Bar,A,high,53.610011697734,41.0737190221543,0.39932611254866496,0.5097372016375438
majority_2026_approx,Edmonton-Highlands-Norwood,A,high,16.579789821555288,20.054687961182307,0.5180325712053891,0.4632581687365419
majority_2026_approx,Edmonton-Manning,A,high,115.33191511035204,50.47443290455879,0.5688745058044719,0.5604235746830665
majority_2026_approx,Edmonton-McClung,A,high,17.94461065916604,23.38241595047069,0.41244414247820127,0.5361481317827892
majority_2026_approx,Edmonton-Meadows,A,high,18.55169619388073,21.54691805209477,0.5021380916598082,0.5708473669742221
majority_2026_approx,Edmonton-Mill Woods,A,high,26.55975579452195,21.97903598079886,0.6909023368797165,0.6291539496346389
majority_2026_approx,Edmonton-North West,A,high,29.92862690131798,33.385232690286074,0.3374332238170371,0.34924831716284443
majority_2026_approx,Edmonton-Rutherford,A,high,21.27286148426335,28.47155075502819,0.32977181262283484,0.4858545552557101
majority_2026_approx,Edmonton-South,A,high,72.70419484010588,56.596308349638434,0.2852286360367699,0.4098593282119794
majority_2026_approx,Edmonton-Strathcona,A,high,15.469617769271503,26.648154103326153,0.27375066620891153,0.3833833292115658
majority_2026_approx,Edmonton-West Henday,A,high,76.50250538154614,44.35072457896071,0.4887469757713418,0.3903680605723747
majority_2026_approx,Edmonton-Whitemud,A,high,22.039743329652328,31.235392775122698,0.2838719320857487,0.392409821939363
majority_2026_approx,Edmonton-Windermere,C,low,,,,
majority_2026_approx,Airdrie-East,C,low,,,,
majority_2026_approx,Airdrie-West,C,low,,,,
majority_2026_approx,Barrhead-Westlock-Athabasca,C,low,,,,
majority_2026_approx,Camrose,A,high,10636.570655675137,722.3722540262208,0.2561470627647195,0.5092324023404214
majority_2026_approx,Canmore-Banff,C,low,,,,
majority_2026_approx,Central Peace-Notley,A,high,47311.93162058979,1506.0844200736044,0.2621089868285002,0.333185358203389
majority_2026_approx,Chestermere-Strathmore,C,low,,,,
