map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,1970,Peace River,043,Peace River,7.733002595822214e-06,0.00023523870934175428,0.0006338467439143528,3.708937903952781e-05,True
majority,1976,Cardston-Siksika,023,High River-Vulcan-Siksika,1.0,20.782293178519595,158.7946857206654,10.990454393212012,True
majority,1979,Calgary-Hays,025,Calgary-Hays,0.42797359510824373,75.70713205208693,98.91335713911045,2.91113830939888,True
majority,1986,Calgary-North,009,Calgary-North,0.35137852944633574,71.37053655276279,75.18528016264484,0.0,True
majority,1987,Calgary-East,066,Calgary-East,1.0,110.71391801715919,122.40467111534794,11.993994280266921,True
majority,1989,Calgary-Bow,048,Calgary-Bow,0.1329389383750994,34.040051209956054,29.18458518228705,2.233873429443962,True
majority,1993,Rimbey-Rocky Mountain House-Sundre,050,Lacombe-Clearwater,1.0,33.26422859830668,194.414557855127,40.19955315145814,True
majority,2000,Calgary-East,048,Calgary-East,0.3933050277425528,36.84163306501503,37.23581293711545,3.63897759541783,True
majority,2005,Edmonton-North West,029,Edmonton-North West,0.022581721933129573,4.781266746526679,3.432168513900944,0.21603782619231351,True
majority,2016,Cardston-Siksika,004,High River-Vulcan-Siksika,1.0,33.95500725689405,224.46064530534778,15.461873395109968,True
majority,2025,Calgary-South East,038,Calgary-South East,0.050289575942222275,8.103920451929122,11.670721886022825,0.3918691821210846,True
majority,2026,Edmonton-Castle Downs,014,Edmonton-Castle Downs,0.19053278445458155,38.34676757530454,29.61022431633749,2.2459400220791497,True
majority,2029,Calgary-Bhullar-McCall,024,Calgary-Bhullar-McCall,1.0,218.1260859961714,161.84092917096154,0.0,True
majority,2030,Lac Ste. Anne-Parkland,016,Edmonton-Enoch,1.0,62.60343493733561,140.06297385115272,5.485687761101656,True
majority,2037,Calgary-Edgemont,004,Calgary-Edgemont,0.14303651116840466,37.22555121452584,34.456800954929896,2.021514535600556,True
majority,2042,Calgary-Cross,004,Calgary-Cross,1.0,159.36150964956832,195.8469718131031,13.856716607414931,True
majority,2052,Calgary-Glenmore,011,Calgary-Glenmore-Tsuut'ina,0.16021605777776804,36.66469867261312,38.788525713794385,1.2187335547849785,True
majority,2060,Calgary-Fish Creek,006,Calgary-Fish Creek,0.18359539199777086,42.62199171427519,49.58155169608069,1.970153879093182,True
majority,2061,Calgary-Glenmore,025,Calgary-Glenmore-Tsuut'ina,0.39318978030408425,117.35799914667442,112.72852622673678,4.695178633680956,True
majority,2063,Calgary-Klein,042,Calgary-Klein,0.3773238384163209,69.81764572300827,71.0060951170054,3.58486780257571,True
majority,2065,Rimbey-Rocky Mountain House-Sundre,012,Lacombe-Clearwater,1.0,29.090153653182817,157.27240514267794,25.0288491690185,True
majority,2073,Calgary-North West,008,Calgary-North West,0.09923699262248453,21.73850646732411,21.871758169933145,2.147711914803225,True
majority,2077,Calgary-Bhullar-McCall,020,Calgary-Bhullar-McCall,1.0,177.0964217346488,142.00209100279784,0.0,True
majority,2084,Calgary-Cross,030,Calgary-Cross,0.043306097623511564,4.710633690446101,5.551162926894413,0.39290826192636835,True
majority,2101,Edmonton-Ellerslie,044,Edmonton-Ellerslie,0.12699005942059594,39.40767905155544,21.987169571280532,0.9035983307873844,True
majority,2102,Calgary-East,061,Calgary-East,1.0,143.18255481410867,153.86606291706386,14.065061963775022,True
majority,2104,Edmonton-Gold Bar,012,Edmonton-Gold Bar,0.18114274725624413,56.33354649108267,23.538861638556632,2.0751979992043834,True
majority,2105,Edmonton-Gold Bar,007,Edmonton-Gold Bar,0.04278933001771057,14.41415535824585,6.2518604974843175,0.577761020013381,True
majority,2106,Calgary-Hays,024,Calgary-Hays,0.18182814829311733,32.16480593886134,42.02416405038119,1.236821369994278,True
majority,2108,Calgary-North,014,Calgary-North,0.11295023872055787,20.044284167588984,20.595989122745372,0.0,True
majority,2119,Calgary-Acadia,018,Calgary-Acadia,0.1777430339974102,36.67347352408083,42.71689501157481,2.0273725753814706,True
majority,2120,Calgary-Hays,021,Calgary-Hays,0.2017424072614571,29.482181092492713,36.49555254447844,1.6959114622499287,True
majority,2132,Calgary-Glenmore,008,Calgary-Glenmore-Tsuut'ina,0.005761249486869735,1.533905414446164,1.51546305508717,0.03379736144170388,True
majority,2158,Calgary-Glenmore,013,Calgary-Glenmore-Tsuut'ina,0.43311953563493255,99.11738862844804,104.85882924684896,3.2946592160154076,True
majority,2159,Grande Prairie-Wapiti,013,Grande Prairie-Wapiti,0.9740050236474637,37.06194314481722,159.15506271617923,6.928890130664771,True
majority,2171,Rimbey-Rocky Mountain House-Sundre,031,Lacombe-Clearwater,1.0,43.64816556914393,222.00638758231418,45.84741298212606,True
majority,2202,Rimbey-Rocky Mountain House-Sundre,069,Lacombe-Clearwater,1.0,44.8936970837253,201.7729727187206,48.18598306679209,True
majority,2206,Calgary-North West,025,Calgary-North West,0.8587207378496214,173.19341976329483,169.86998502591905,13.408209595821576,True
majority,2209,Cardston-Siksika,046,High River-Vulcan-Siksika,1.0,37.66763425253991,216.36809199508764,33.35235011722675,True
majority,2217,Calgary-Glenmore,009,Calgary-Glenmore-Tsuut'ina,0.02520154917270312,6.709793216999528,6.629120434592585,0.14784047596305375,True
majority,2219,Cardston-Siksika,001,High River-Vulcan-Siksika,0.9999999997336098,39.13497821889268,191.54114095600892,12.768225965114913,True
majority,2221,Edmonton-Castle Downs,001,Edmonton-Castle Downs,0.4254327149360222,85.62289941483165,66.11543602233421,5.014865887315943,True
majority,2224,Edmonton-Riverview,020,Edmonton-Glenora-Riverview,0.142547137618373,51.421028422569044,23.289089539056604,2.6532428168531057,True
majority,2228,Calgary-West,024,Calgary-West-Elbow Valley,0.4199286241884521,84.86823210697155,113.8989335382731,2.5916415763729224,True
majority,2229,Calgary-West,023,Calgary-West-Elbow Valley,0.1481217848448806,29.93564451722822,40.17566880614991,0.9141519626399254,True
majority,2230,Calgary-Hays,020,Calgary-Hays,0.13045071899228478,19.06377431093136,23.598762075233182,1.0966106363103103,True
