perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
13,-2.369801310410417,0.4256407744817682,2.795442084892185,-1.286917332683274,-1.149874762095987,-0.03208405915577108,-0.02184155686751019,49,43,39,35,True,True,0.9152179836179627,0.8955181133699759
14,-5.26307172098347,0.9046500073994472,6.167721728382918,-1.866994396458066,-1.6613546054644213,-0.044895771227584216,-0.034343504915071044,49,45,40,36,True,True,0.9153993587937871,0.8954194261840285
15,-2.382329695905881,0.997607319182028,3.379937015087909,-1.3866346602517066,-1.8140877892213025,-0.02944287605693686,-0.0338321999227355,49,46,39,36,True,True,0.9153724909964283,0.8950624621329546
16,-2.3055102909744383,-0.9431651901957575,1.3623451007786807,-1.911398779672413,-2.298798140156866,-0.03150905863382329,-0.047091909504830574,49,49,39,37,True,True,0.9153154652181499,0.8950951178830117
17,-2.4207289223879807,0.29573266831045564,2.716461590698436,-1.446679116573979,-1.5203859311204604,-0.045015052801867475,-0.035683201861199464,48,45,40,36,True,True,0.9156832378178568,0.8951338026742013
18,-5.987267784436699,0.4063121175202158,6.3935799019569135,-1.3060129341622262,-1.411603215568974,-0.05674395892520901,-0.036953180185272286,48,44,41,36,True,True,0.9150972053533978,0.8950307379049484
19,-5.279345664675604,1.0527065577577888,6.3320522224333935,-1.2989567771286348,-1.592331967656474,-0.0582273043073445,-0.009307632135140765,49,46,41,34,True,True,0.9155199575523083,0.8951997491147295
20,-5.1023689232156,1.922965121218095,7.025334044433695,-1.8448206887977714,-2.00311999454435,-0.05653043349244608,-0.009012128968228776,48,45,41,34,True,True,0.9155051754814395,0.8948913541574433
21,-2.170892716365566,2.1475891995559127,4.3184819159214785,-1.1184445759978512,-1.112182290730801,-0.04378814356989412,-0.022346805610243853,48,44,40,35,True,True,0.9152544464791712,0.8953294508146997
22,-2.327971216649225,1.0217808437371523,3.349752060386377,-1.4011156368267885,-1.7188439961944357,-0.03139398847646093,-0.03191462397772154,49,47,39,36,True,True,0.9152610955197097,0.895340693789876
