va_id,parent_ed_2019,va_ndp,va_ucp,va_other,assigned_2026_majority,maj_method,maj_confidence,assigned_2026_minority,min_method,min_confidence
Central Peace-Notley|004,Central Peace-Notley,24.2,83.6,3.6,Central Peace-Notley,crosswalk,high,Central Peace-Notley,crosswalk,high
Livingstone-Macleod|046,Livingstone-Macleod,5.0,37.0,0.5,Livingstone-Macleod,crosswalk,high,Lethbridge-Fort MacLeod-Crowsnest Pass,nearest_ed,low
Calgary-North East|044,Calgary-North East,84.75,59.375,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Edmonton-Rutherford|021,Edmonton-Rutherford,142.42857142857142,70.42857142857143,10.857142857142858,Edmonton-Rutherford,crosswalk,high,Edmonton-Rutherford,crosswalk,high
Chestermere-Strathmore|022,Chestermere-Strathmore,47.75,145.25,9.0,Chestermere-Strathmore,crosswalk,high,Chestermere-Strathmore,crosswalk,high
Calgary-East|059,Calgary-East,59.42857142857143,58.714285714285715,5.571428571428571,Calgary-East,crosswalk,high,Calgary-East,crosswalk,high
Banff-Kananaskis|028,Banff-Kananaskis,89.71428571428571,44.857142857142854,4.857142857142857,Canmore-Banff,spatial,high,Canmore-Kananaskis,spatial,high
Calgary-Foothills|013,Calgary-Foothills,87.6,87.8,3.6,Calgary-Edgemont,spatial,high,Calgary-Foothills-Airdrie West,candidate,medium
Calgary-Fish Creek|011,Calgary-Fish Creek,126.33333333333333,153.83333333333334,6.833333333333333,Calgary-Fish Creek,crosswalk,high,Calgary-Acadia,spatial,high
Bonnyville-Cold Lake-St. Paul|023,Bonnyville-Cold Lake-St. Paul,55.0,8.0,0.0,Cold Lake-Bonnyville-St. Paul,spatial,high,Cold Lake-Bonnyville-St. Paul,spatial,high
Camrose|056,Camrose,26.0,132.0,16.2,Camrose,crosswalk,high,Camrose,crosswalk,high
Central Peace-Notley|020,Central Peace-Notley,31.5,87.0,6.5,Central Peace-Notley,crosswalk,high,Central Peace-Notley,crosswalk,high
Calgary-North East|028,Calgary-North East,66.125,59.25,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Lethbridge-West|006,Lethbridge-West,131.0,85.0,8.75,Lethbridge-West,spatial,high,Lethbridge-Fort MacLeod-Crowsnest Pass,candidate,medium
Airdrie-Cochrane|035,Airdrie-Cochrane,56.42857142857143,107.14285714285714,6.142857142857143,Cochrane-Springbank,spatial,high,Calgary-Airdrie,spatial,high
Edmonton-Rutherford|009,Edmonton-Rutherford,176.5,88.25,12.0,Edmonton-Rutherford,crosswalk,high,Edmonton-Rutherford,crosswalk,high
Central Peace-Notley|022,Central Peace-Notley,26.0,74.0,3.0,Central Peace-Notley,crosswalk,high,Central Peace-Notley,crosswalk,high
Calgary-Fish Creek|002,Calgary-Fish Creek,79.0,166.0,18.0,Calgary-Fish Creek,crosswalk,high,Calgary-Acadia,spatial,high
Edmonton-Beverly-Clareview|029,Edmonton-Beverly-Clareview,101.8,88.0,7.8,Edmonton-Beverly-Clareview,crosswalk,high,Edmonton-Beverly-Clareview,crosswalk,high
West Yellowhead|027,West Yellowhead,29.923076923076923,133.07692307692307,0.0,West Yellowhead,crosswalk,high,West Yellowhead,crosswalk,high
Edmonton-Manning|044,Edmonton-Manning,54.77777777777778,42.111111111111114,1.1111111111111112,Edmonton-Manning,crosswalk,high,Edmonton-Manning,crosswalk,high
Strathcona-Sherwood Park|019,Strathcona-Sherwood Park,105.6,200.0,11.4,Strathcona-Sherwood Park,crosswalk,high,Stony Plain-Drayton Valley,spatial,high
Brooks-Medicine Hat|065,Brooks-Medicine Hat,55.166666666666664,75.83333333333333,5.333333333333333,Medicine Hat-Brooks,spatial,high,Medicine Hat-Brooks,spatial,high
Calgary-Beddington|016,Calgary-Beddington,97.5,121.75,8.25,Calgary-Beddington,spatial,high,Calgary-Beddington,crosswalk,high
Innisfail-Sylvan Lake|057,Innisfail-Sylvan Lake,38.25,159.25,6.0,Sylvan Lake-Innisfail,spatial,high,Red Deer-Innisfail,crosswalk_split_default,medium
Red Deer-North|038,Red Deer-North,73.5,106.25,10.25,Red Deer-North,crosswalk,high,Red Deer-Blackfalds,crosswalk,high
Lac Ste. Anne-Parkland|009,Lac Ste. Anne-Parkland,60.0,203.0,19.5,Stony Plain-Drayton Valley,nearest_ed,low,Lac Ste. Anne-Parkland,crosswalk,high
Lethbridge-East|043,Lethbridge-East,78.0,93.25,4.25,Lethbridge-East,spatial,high,Lethbridge-Little Bow,spatial,high
Calgary-Acadia|001,Calgary-Acadia,100.33333333333333,96.0,7.0,Calgary-Acadia,crosswalk,high,Calgary-Acadia,crosswalk,high
Edmonton-McClung|015,Edmonton-McClung,124.5,89.83333333333333,7.5,Edmonton-McClung,crosswalk,high,Edmonton-McClung,crosswalk,high
Calgary-West|041,Calgary-West,71.2,131.0,3.2,Calgary-Glenmore-Tsuut'ina,spatial,high,Calgary-West-Tsuut'ina,spatial,high
Calgary-West|040,Calgary-West,71.2,131.0,3.2,Calgary-Glenmore-Tsuut'ina,spatial,high,Calgary-West-Tsuut'ina,spatial,high
Airdrie-Cochrane|042,Airdrie-Cochrane,75.85714285714286,111.85714285714286,5.285714285714286,Cochrane-Springbank,spatial,high,Calgary-Airdrie,spatial,high
Calgary-West|010,Calgary-West,74.625,115.5,3.375,Calgary-Currie,spatial,high,Calgary-West-Tsuut'ina,spatial,high
Edmonton-Highlands-Norwood|028,Edmonton-Highlands-Norwood,76.25,32.25,3.25,Edmonton-Highlands-Norwood,crosswalk,high,Edmonton-Highlands-Norwood,crosswalk,high
Grande Prairie|014,Grande Prairie,74.33333333333333,144.0,8.0,Grande Prairie,crosswalk,high,Grande Prairie,crosswalk,high
Leduc-Beaumont|003,Leduc-Beaumont,113.16666666666667,131.0,5.0,Edmonton-Beaumont,spatial,high,Edmonton-Beaumont,spatial,high
Leduc-Beaumont|002,Leduc-Beaumont,84.28571428571429,115.85714285714286,5.714285714285714,Edmonton-Beaumont,spatial,high,Edmonton-Beaumont,spatial,high
Olds-Didsbury-Three Hills|005,Olds-Didsbury-Three Hills,39.61538461538461,141.30769230769232,18.46153846153846,Mountain View-Kneehill,spatial,high,Olds-Three Hills-Didsbury,spatial,high
Calgary-Shaw|046,Calgary-Shaw,82.9090909090909,104.54545454545455,1.5454545454545454,Calgary-Shaw,crosswalk,high,Calgary-Elbow,spatial,high
Calgary-Shaw|045,Calgary-Shaw,87.28571428571429,153.28571428571428,2.857142857142857,Calgary-Shaw,crosswalk,high,Calgary-Elbow,spatial,high
Taber-Warner|049,Taber-Warner,22.5,131.5,10.166666666666666,Taber-Cardston,spatial,high,Lethbridge-Little Bow,spatial,high
Edmonton-City Centre|047,Edmonton-City Centre,90.2,21.0,4.6,Edmonton-City Centre,crosswalk,high,Edmonton-City Centre,crosswalk,high
Calgary-Cross|029,Calgary-Cross,56.0,72.25,6.5,Calgary-Cross,crosswalk,high,Calgary-Cross,crosswalk,high
Athabasca-Barrhead-Westlock|048,Athabasca-Barrhead-Westlock,97.0,316.0,0.0,Barrhead-Westlock-Athabasca,spatial,high,Barrhead-Westlock-Athabasca,spatial,high
St. Albert|039,St. Albert,122.5,108.16666666666667,2.8333333333333335,St. Albert,crosswalk,high,St. Albert,crosswalk,high
Edmonton-Glenora|005,Edmonton-Glenora,194.0,79.66666666666667,5.0,Edmonton-City Centre,spatial,high,Edmonton-Beverly-Clareview,spatial,high
Edmonton-Ellerslie|015,Edmonton-Ellerslie,115.2,76.6,2.4,Edmonton-Ellerslie,crosswalk,high,Edmonton-Ellerslie,crosswalk,high
Spruce Grove-Stony Plain|007,Spruce Grove-Stony Plain,100.8,138.2,4.8,Spruce Grove,spatial,high,Edmonton-Spruce Grove,spatial,high
Calgary-North West|019,Calgary-North West,92.33333333333333,97.66666666666667,9.333333333333334,Calgary-Bow,spatial,high,Calgary-Bow-Springbank,spatial,high
Edmonton-Strathcona|032,Edmonton-Strathcona,195.75,69.5,9.0,Edmonton-Strathcona,crosswalk,high,Edmonton-Strathcona,crosswalk,high
Highwood|054,Highwood,56.40909090909091,125.81818181818181,4.954545454545454,Okotoks-Diamond Valley,spatial,high,Highwood,crosswalk,high
Grande Prairie|022,Grande Prairie,71.66666666666667,147.33333333333334,13.666666666666666,Grande Prairie,crosswalk,high,Grande Prairie,crosswalk,high
Taber-Warner|008,Taber-Warner,25.142857142857142,120.57142857142857,17.142857142857142,Taber-Cardston,spatial,high,Lethbridge-Taber-Warner,candidate,medium
Calgary-Buffalo|033,Calgary-Buffalo,134.75,70.25,7.25,Calgary-Acadia,spatial,high,Calgary-Buffalo,crosswalk,high
Edmonton-Meadows|027,Edmonton-Meadows,120.16666666666667,65.5,2.8333333333333335,Edmonton-Meadows,crosswalk,high,Edmonton-Meadows,crosswalk,high
Camrose|047,Camrose,41.666666666666664,188.66666666666666,32.0,Camrose,crosswalk,high,Camrose,crosswalk,high
Grande Prairie-Wapiti|068,Grande Prairie-Wapiti,42.5,243.0,19.0,Grande Prairie-Wapiti,crosswalk,high,Grande Prairie-Wapiti,crosswalk,high
Calgary-Hays|034,Calgary-Hays,93.5,127.66666666666667,6.166666666666667,Calgary-South East,spatial,high,Calgary-Hays,crosswalk,high
Lac Ste. Anne-Parkland|053,Lac Ste. Anne-Parkland,34.0,79.2,6.4,Spruce Grove,nearest_ed,low,Lac Ste. Anne-Parkland,crosswalk,high
Lacombe-Ponoka|044,Lacombe-Ponoka,38.5,167.33333333333334,16.333333333333332,Lacombe-Clearwater,spatial,high,Red Deer-Lacombe,crosswalk_split_default,medium
Calgary-Acadia|011,Calgary-Acadia,100.25,119.25,8.5,Calgary-Acadia,crosswalk,high,Calgary-Acadia,crosswalk,high
Lethbridge-West|013,Lethbridge-West,120.2,112.0,10.8,Lethbridge-West,spatial,high,Lethbridge-Fort MacLeod-Crowsnest Pass,candidate,medium
Calgary-Beddington|038,Calgary-Beddington,117.5,98.83333333333333,7.166666666666667,Calgary-Nose Creek,spatial,high,Calgary-Beddington,crosswalk,high
Edmonton-West Henday|019,Edmonton-West Henday,181.5,120.5,12.0,Edmonton-Enoch,spatial,high,Edmonton-Glenora-Riverview,spatial,high
Spruce Grove-Stony Plain|050,Spruce Grove-Stony Plain,59.25,116.75,5.0,Spruce Grove,spatial,high,Edmonton-Spruce Grove,spatial,high
Calgary-Acadia|010,Calgary-Acadia,100.25,119.25,8.5,Calgary-Acadia,crosswalk,high,Calgary-Acadia,crosswalk,high
Drayton Valley-Devon|016,Drayton Valley-Devon,23.0,158.33333333333334,9.222222222222221,Stony Plain-Drayton Valley,spatial,high,Stony Plain-Drayton Valley,spatial,high
Calgary-South East|033,Calgary-South East,77.8,145.6,4.6,Calgary-South East,crosswalk,high,Calgary-South East,crosswalk,high
Olds-Didsbury-Three Hills|049,Olds-Didsbury-Three Hills,23.0,224.0,9.0,Mountain View-Kneehill,spatial,high,Drumheller-Stettler,spatial,high
