OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
1473,041,Grande Prairie-Wapiti,29.166666666666668,69.83333333333333,5.5,Grande Prairie-Wapiti,Grande Prairie-Wapiti
1474,039,Strathcona-Sherwood Park,122.0,114.66666666666667,6.0,Strathcona-Sherwood Park,Sherwood Park-Strathcona
1475,035,Edmonton-Mill Woods,131.75,93.25,0.0,Edmonton-Ellerslie,Edmonton-Ellerslie
1476,004,Calgary-Shaw,91.0,112.2,2.6,Calgary-Lougheed,Calgary-Lougheed
1477,043,Bonnyville-Cold Lake-St. Paul,27.615384615384617,144.15384615384616,0.0,Cold Lake-Bonnyville-St. Paul,Cold Lake-Bonnyville-St. Paul
1478,029,Calgary-Klein,119.75,97.0,6.75,Calgary-Klein,Calgary-Klein
1479,017,Calgary-Edgemont,89.0,95.0,10.666666666666666,Calgary-Edgemont,Calgary-Edgemont
1480,004,Sherwood Park,142.0,123.33333333333333,23.666666666666668,Sherwood Park,Sherwood Park
1481,042,Calgary-Peigan,113.28571428571429,151.14285714285714,7.142857142857143,Calgary-Confluence,Calgary-East
1482,050,Cypress-Medicine Hat,11.0,87.0,1.0,Medicine Hat-Cypress,Medicine Hat-Cypress
1483,018,Calgary-Glenmore,144.16666666666666,133.5,4.0,Calgary-Glenmore-Tsuut'ina,Calgary-Glenmore
1484,038,Fort Saskatchewan-Vegreville,57.0,114.5,10.25,Strathcona-Sherwood Park,Sherwood Park
1485,030,Lethbridge-East,71.0,71.25,3.0,Lethbridge-East,Lethbridge-Little Bow
1486,012,Highwood,42.333333333333336,111.66666666666667,5.0,Okotoks-Diamond Valley,Canmore-Kananaskis
1487,009,Red Deer-North,59.5,93.75,13.5,Red Deer-North,Red Deer-Lacombe
1488,003,Edmonton-Strathcona,113.25,23.25,5.75,Edmonton-Strathcona,Edmonton-Strathcona
1489,016,Calgary-Foothills,111.75,98.5,3.5,Calgary-Symons Valley,Calgary-Edgemont
1490,015,Calgary-Foothills,111.75,98.5,3.5,Calgary-Symons Valley,Calgary-Edgemont
1491,010,Cypress-Medicine Hat,87.4,136.2,5.6,Medicine Hat-Cypress,Medicine Hat-Cypress
1492,019,Calgary-Edgemont,89.0,95.0,10.666666666666666,Calgary-Edgemont,Calgary-Edgemont
1493,012,Sherwood Park,102.33333333333333,90.0,14.333333333333334,Sherwood Park,Sherwood Park
1494,017,Airdrie-Cochrane,76.28571428571429,118.14285714285714,7.571428571428571,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane
1495,054,Calgary-Foothills,81.57142857142857,87.0,2.4285714285714284,Calgary-North,Calgary-Foothills-Airdrie West
1496,002,Banff-Kananaskis,48.0,161.0,4.333333333333333,Okotoks-Diamond Valley,Canmore-Kananaskis
1497,025,Chestermere-Strathmore,46.25,182.0,6.25,Chestermere-Strathmore,Chestermere-Strathmore
1498,070,Calgary-Buffalo,53.666666666666664,35.166666666666664,1.3333333333333333,Calgary-Confluence,Calgary-Buffalo
1499,038,Calgary-Mountain View,91.8,65.2,3.2,Calgary-Mountain View,Calgary-Mountainview
1500,016,Calgary-Varsity,75.375,74.0,1.375,Calgary-Varsity,Calgary-Varsity
1501,037,Edmonton-West Henday,124.16666666666667,104.83333333333333,8.0,Edmonton-Enoch,Edmonton-West Henday
1502,022,Calgary-Fish Creek,128.2,141.4,6.6,Calgary-Fish Creek,Calgary-Fish Creek
1503,008,Edmonton-McClung,112.0,67.66666666666667,8.666666666666666,Edmonton-McClung,Edmonton-McClung
1504,002,Edmonton-Castle Downs,90.0,85.0,4.666666666666667,Edmonton-Castle Downs,Edmonton-Castledowns
