ucp,ndp,other,ed_2026,total
4072.0527023287505,1531.0186091968415,276.0023085597111,Peace River,5879.073620085303
6106.187833663903,3531.9644374376353,454.30844184146264,Red Deer-North,10092.460712943
8384.087841133243,5667.426734820368,369.3551319074575,Red Deer-South,14420.86970786107
6464.561848933998,6465.01120300111,900.0177835752776,Sherwood Park,13829.590835510386
7200.078384278477,4474.979437609199,388.691440013622,Spruce Grove,12063.7492619013
6463.435360101691,8146.38261127976,347.0481413051921,St. Albert,14956.866112686643
7985.166256584474,5095.857167831256,483.94917895498793,St. Albert-Sturgeon,13564.972603370717
10077.782825839517,3324.2592107605547,568.5691661036914,Stony Plain-Drayton Valley,13970.611202703762
8249.090449823183,6038.178910269829,447.2335975836741,Strathcona-Sherwood Park,14734.502957676686
9334.163136340241,2590.5087833092643,807.6794184743607,Sylvan Lake-Innisfail,12732.351338123866
7879.119573300991,1318.06392451576,988.1649023905694,Taber-Cardston,10185.34840020732
9028.183060529273,2799.68994177927,71.20632075719132,West Yellowhead,11899.079323065735
8380.067522246316,2842.10451280258,1134.8234636808224,Wetaskiwin-Ponoka-Maskwacis,12356.995498729719
