ed_2026,ndp,ucp,other,n_vas,map
Edmonton-Enoch-Devon,4291.555555555556,5016.277777777777,271.22222222222223,51,minority
Edmonton-Glenora-Riverview,8813.516666666666,4598.833333333333,475.35,57,minority
Edmonton-Gold Bar,8899.25,4077.7,436.8,60,minority
Edmonton-Highlands-Norwood,5122.2,2223.0,279.8,47,minority
Edmonton-Manning,3984.0,3180.5,151.25,48,minority
Edmonton-McClung,7272.4,4888.5,382.4,58,minority
Edmonton-Meadows,3419.583333333333,2013.9166666666667,87.66666666666667,29,minority
Edmonton-Mill Woods,7092.75,4629.75,71.0,54,minority
Edmonton-North West,5402.0,3829.0,232.0,49,minority
Edmonton-Rutherford,7011.0,4062.0,396.5,55,minority
Edmonton-South,4084.342857142857,2974.3142857142857,134.27142857142857,47,minority
Edmonton-Spruce Grove,4914.071428571428,6860.857142857143,357.92857142857144,53,minority
Edmonton-Strathcona,8030.75,2177.3,359.2,52,minority
Edmonton-West Henday,6585.5,4846.5,543.0,52,minority
Edmonton-Whitemud,6304.666666666667,4655.0,333.6666666666667,55,minority
Edmonton-Windermere,3242.190476190476,2719.0857142857144,84.36190476190477,47,minority
Fort McMurray-Lac La Biche,1203.0,4368.0,113.0,40,minority
Fort McMurray-Wood Buffalo,1047.0,3744.0,660.0,37,minority
Fort Saskatchewan-Vegreville,4422.0,7777.0,678.0,67,minority
Grande Prairie,2614.0,6485.0,462.0,45,minority
Grande Prairie-Wapiti,2253.0,9684.0,427.0,67,minority
Highwood,3026.1842769803297,7719.495015948964,395.2401648059543,62,minority
Lac Ste Anne-Parkland,3211.6809523809525,9577.011904761905,506.0357142857143,64,minority
Leduc,3834.680158730159,7760.796031746032,496.3420634920635,55,minority
Lesser Slave Lake,1658.0,3467.5,76.0,55,minority
Lethbridge-Cardston,3128.682142857143,6109.253571428571,780.6238095238095,60,minority
Lethbridge-Fort Macleod-Crowsnest Pass,3789.8416666666667,7151.175,708.4,57,minority
Lethbridge-Little Bow,3989.121212121212,7695.477272727273,538.8484848484849,71,minority
Lethbridge-Taber-Warner,3482.3549783549784,7380.427489177489,608.6277056277056,69,minority
Lloydminster-Wainwright,1748.0,8664.0,911.0,59,minority
Medicine Hat-Brooks,3032.0,7609.0,704.0,67,minority
Medicine Hat-Cypress,4825.0,9881.666666666666,539.0,61,minority
Olds-Three Hills-Didsbury,2369.2,10603.5,870.9,49,minority
Peace River,1531.0,4072.0,276.0,60,minority
Red Deer-Blackfalds,3272.516666666667,7153.171428571429,661.85,49,minority
Red Deer-Innisfail,4611.644444444444,8826.533333333333,414.6222222222222,56,minority
Red Deer-Lacombe,2614.85,7601.861904761905,1060.9333333333334,53,minority
Red Deer-Sylvan Lake,3288.563888888889,7737.133333333333,600.1694444444445,58,minority
Rocky Mountain House-Banff Park,1356.6964285714287,5837.714285714285,1367.482142857143,51,minority
Sherwood Park,6721.0,6740.5,926.25,55,minority
Sherwood Park-Strathcona,6108.666666666666,8727.5,525.25,58,minority
St Albert,7500.7,5853.433333333333,314.1666666666667,58,minority
St Albert-Sturgeon,5025.0,7390.4,478.0,55,minority
Stony Plain-Drayton Valley,2606.714285714286,9005.464285714286,572.702380952381,59,minority
West Yellowhead,2444.0,7295.0,0.0,58,minority
Wetaskiwin-Ponoka-Maskwacis,2486.3119047619048,6699.502380952381,929.8595238095238,49,minority
