efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step,municipal_splits
0.01053792437875759,-0.02661151480041013,-0.00786015654050525,0.4606741573033708,56,89,0.57404276390629949,21,31
0.01053792437875759,-0.026341969216210459,-0.0071654049569484226,0.449438202247191,56,89,0.57404276390629938,22,31
0.01053792437875759,-0.02625459387383644,-0.0069400337596513218,0.449438202247191,56,89,0.57404276390629938,23,31
0.01053792437875759,-0.026367984950959156,-0.0072324932088617356,0.449438202247191,56,89,0.57404276390629949,24,33
0.010537924378757559,-0.026243730286520384,-0.006300147185401817,0.449438202247191,56,89,0.57404276390629938,25,33
0.010537924378757559,-0.02652296165844481,-0.0083972136595378069,0.449438202247191,56,89,0.57404276390629938,26,33
0.010537924378757559,-0.026659438595787233,-0.0087490393193256199,0.449438202247191,56,89,0.57404276390629938,27,34
0.01053792437875759,-0.026649931027553753,-0.0087245359060097397,0.449438202247191,56,89,0.57404276390629938,28,34
0.010537924378757559,-0.026744346394360852,-0.0089678265966159822,0.449438202247191,56,89,0.57404276390629949,29,34
0.01053792437875759,-0.026846097427538074,-0.0097336483640683234,0.449438202247191,56,89,0.57404276390629938,30,34
0.01053792437875759,-0.026845269689314888,-0.0097315158403467501,0.449438202247191,56,89,0.57404276390629949,31,34
0.01053792437875759,-0.026916419178070861,-0.010267542648759636,0.449438202247191,56,89,0.57404276390629949,32,34
-0.00086392518472582457,-0.026765072458272421,-0.033202940565024736,0.449438202247191,55,89,0.57404276390629949,33,34
-0.00086392518472582457,-0.026797136902280028,-0.033287340529852619,0.449438202247191,55,89,0.57404276390629938,34,35
-0.00086392518472582457,-0.0269301008352959,-0.033637204607104801,0.449438202247191,55,89,0.57404276390629949,35,37
-0.00086392518472582457,-0.026911132717023389,-0.033499795728662136,0.449438202247191,55,89,0.57404276390629949,36,37
-0.00086392518472582457,-0.026845692496760609,-0.033025939429903999,0.449438202247191,55,89,0.57404276390629949,37,37
-0.0010652499765793596,-0.026879317085886201,-0.031982069146774157,0.449438202247191,55,89,0.57404276390629949,38,37
-0.0010652499765793596,-0.026897751708801043,-0.032115184251125681,0.449438202247191,55,89,0.57404276390629949,39,37
-0.00042424864271664483,-0.026879231377247126,-0.031946441093912425,0.449438202247191,55,89,0.57404276390629949,40,37
-0.00042424864271664483,-0.02697206838803512,-0.032190302555819165,0.449438202247191,55,89,0.57404276390629949,41,37
-0.00042424864271664483,-0.026968301678418238,-0.032180410163366258,0.449438202247191,55,89,0.57404276390629938,42,37
-0.00042424864271664483,-0.026991488898426064,-0.032347834192272572,0.449438202247191,55,89,0.57404276390629938,43,37
-0.00042424864271664483,-0.026837887381745751,-0.031944299363282413,0.449438202247191,55,89,0.57404276390629938,44,37
-0.00042424864271661236,-0.026786315920476533,-0.031571980770500559,0.449438202247191,55,89,0.57404276390629938,45,37
-0.0021094213534022356,-0.027316583305496578,-0.035845982303846814,0.449438202247191,55,89,0.57404276390629938,46,37
-0.0021094213534022682,-0.027542833403796374,-0.036440523369239725,0.449438202247191,55,89,0.57404276390629949,47,37
-0.0021094213534022682,-0.027705997351292533,-0.037626750889018491,0.449438202247191,55,89,0.57404276390629949,48,37
-0.0021094213534022682,-0.036881461817104166,-0.037666924340916473,0.449438202247191,55,89,0.57404276390629949,49,37
-0.0021094213534022682,-0.037157616867648402,-0.038391778048389537,0.449438202247191,55,89,0.57404276390629949,50,38
-0.0021094213534022682,-0.037186824035989607,-0.038468391053096344,0.449438202247191,55,89,0.57404276390629949,51,38
-0.0021094213534022356,-0.037198002903965688,-0.038497711679485569,0.449438202247191,55,89,0.57404276390629938,52,38
-0.0023893540803262203,-0.03723157610438721,-0.038712910359704755,0.449438202247191,55,89,0.57404276390629949,53,38
-0.0023893540803262203,-0.037132853345041794,-0.037994743981971439,0.449438202247191,55,89,0.57404276390629938,54,38
-0.00036893125922884485,-0.036551265569333524,-0.033589543692867138,0.449438202247191,55,89,0.57404276390629949,55,38
