ucp,ndp,other,ed_2026,total
4097.355437466504,5624.925175650609,385.4076445453059,Edmonton-Beverly-Clareview,10107.68825766242
3865.0000020378307,4638.000001260814,361.000000121976,Edmonton-Castledowns,8864.00000342062
1898.3392640016186,5927.230354424294,236.02981294539052,Edmonton-City Centre,8061.599431371303
3704.520836829095,4411.443757909436,555.2927940823081,Edmonton-Decore,8671.257388820839
4202.0741904739525,5897.286770076999,115.88374475420846,Edmonton-Ellerslie,10215.24470530516
5066.117289235921,4320.149781577647,274.3907942183108,Edmonton-Enoch-Devon,9660.657865031879
4611.639346165268,8875.218040684987,475.51110784197476,Edmonton-Glenora-Riverview,13962.36849469223
4112.235389933316,8974.20918137651,440.543084773212,Edmonton-Gold Bar,13526.987656083036
2236.30653502093,5145.602234973144,280.79322563716374,Edmonton-Highlands-Norwood,7662.701995631238
3070.010799317768,3883.518907229872,147.2967400340137,Edmonton-Manning,7100.826446581655
4893.807415509734,7281.463823077495,383.05910820673574,Edmonton-McClung,12558.330346793964
1981.6625884116004,3379.2636322047947,86.76575914551218,Edmonton-Meadows,5447.691979761907
4648.1802312322825,7109.201097228391,71.20703688237398,Edmonton-Mill Woods,11828.588365343046
3828.6286968584163,5401.524021848729,231.95135586895623,Edmonton-North West,9462.1040745761
4136.564848046826,7103.038443657042,399.4575026594084,Edmonton-Rutherford,11639.060794363277
3094.318176611203,4240.900060374712,137.23423059016858,Edmonton-South,7472.452467576083
6918.620658818375,4973.818099403074,366.6020048977001,Edmonton-Spruce Grove,12259.040763119148
2134.9086013070637,7942.4438095022015,354.7793892295197,Edmonton-Strathcona,10432.131800038784
4747.74644076986,6501.815446299595,531.6947642586626,Edmonton-West Henday,11781.256651328118
4656.10901848168,6310.665007855895,334.09082528710286,Edmonton-Whitemud,11300.864851624678
2763.3811126553815,3302.385706997898,86.59955627025337,Edmonton-Windermere,6152.366375923533
6513.711288774314,3512.6675372361105,313.551243126181,Airdrie-East,10339.930069136606
8525.470671518182,2578.674564831797,12.404179912212557,Barrhead-Westlock-Athabasca,11116.549416262193
8237.034200083155,2972.0217595518725,1310.9185068874995,Camrose,12519.974466522528
4918.926867184703,3500.018963768529,370.93107801221277,Canmore-Kananaskis,8789.876908965443
8222.793520186911,2423.66468932858,0.00016423428120053153,Cold Lake-Bonnyville-St. Paul,10646.458373749772
6443.248132413413,1350.6194210058975,296.9736890790368,Central Peace-Notley,8090.841242498347
6027.560748753395,2444.6603163787618,278.2240518394229,Chestermere-Strathmore,8750.44511697158
11252.400669849578,1876.1254787620483,564.9478916129873,Drumheller-Stettler,13693.474040224612
4541.014661686613,1229.4712066399568,117.60420015909358,Fort McMurray-Lac La Biche,5888.090068485664
3679.0111049326088,1029.0043605542535,657.0005659197362,Fort McMurray-Wood Buffalo,5365.016031406598
7809.115555125675,4432.909858331397,680.1919645947775,Fort Saskatchewan-Vegreville,12922.21737805185
6485.000005616493,2614.0000009329706,462.00000015001837,Grande Prairie,9561.000006699482
9559.633298961147,2235.1217742527406,423.94720215608305,Grande Prairie-Wapiti,12218.702275369971
7859.12139326265,3069.9526239670054,400.0932273556017,Highwood,11329.167244585256
9356.776084955309,3094.154804991074,496.78030129991396,Lac Ste Anne-Parkland,12947.711191246297
7316.0434004435465,3625.8519187394163,468.38312471219,Leduc,11410.278443895153
3354.2576780918575,1631.4764717154358,75.99917526810137,Lesser Slave Lake,5061.7333250753945
6106.444705522986,3091.9606609709076,785.5053056667143,Lethbridge-Cardston,9983.910672160608
7315.106685598523,3862.5465708061306,723.5982344352782,Lethbridge-Fort Macleod-Crowsnest Pass,11901.251490839932
7472.5620791910305,3937.616602360718,511.14355105496594,Lethbridge-Little Bow,11921.322232606713
7618.6447700452745,3515.065592491377,635.1469677757952,Lethbridge-Taber-Warner,11768.857330312447
8683.204386005104,1753.5302509344947,910.3990617585295,Lloydminster-Wainwright,11347.133698698128
7608.976661982149,3031.9978207881763,703.9978546220173,Medicine Hat-Brooks,11344.972337392343
9676.913781619745,4802.544070746375,517.0449368077858,Medicine Hat-Cypress,14996.502789173906
10331.58354110466,2346.0183891782203,861.0712292962182,Olds-Three Hills-Didsbury,13538.673159579097
4073.1313788978155,1531.2678219440918,276.07936752902157,Peace River,5880.478568370929
7548.17557973435,3436.1327544220094,678.253666657784,Red Deer-Blackfalds,11662.562000814143
8559.593544569618,4465.126560771427,400.73495516766843,Red Deer-Innisfail,13425.455060508713
7717.76736282389,2643.8795235825546,1093.1781330939748,Red Deer-Lacombe,11454.825019500418
7741.817129720823,3288.0256147092823,609.248629388109,Red Deer-Sylvan Lake,11639.091373818213
6004.442261468254,1447.1974915539545,1326.7097415775513,Rocky Mountain House-Banff Park,8778.34949459976
6816.101459882749,6768.52736179966,927.5896098218875,Sherwood Park,14512.218431504296
5889.259288698338,7550.833479089057,313.6645823507747,St Albert,13753.75735013817
7534.318739822252,5099.794828499062,484.03534260026396,St Albert-Sturgeon,13118.148910921578
9253.983633580423,2654.1546681199193,591.6026852177735,Stony Plain-Drayton Valley,12499.740986918116
8574.862933569812,6027.073963788583,513.8065543148268,Sherwood Park-Strathcona,15115.743451673221
7208.8299793738715,2434.5916679176717,2.75046715786245e-08,West Yellowhead,9643.421647319048
6544.404341891818,2466.8117001571263,929.4018613387698,Wetaskiwin-Ponoka-Maskwacis,9940.617903387716
