OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
103,0.0,0.0,0.0,015,115.2,76.6,2.4,0.0,0.0
104,0.0,0.0,0.0,007,100.8,138.2,4.8,0.0,0.0
105,0.0,0.0,0.0,019,92.33333333333333,97.66666666666667,9.333333333333334,0.0,0.0
106,0.0,0.0,0.0,032,195.75,69.5,9.0,0.0,0.0
107,0.0,0.0,0.0,054,56.40909090909091,125.81818181818181,4.954545454545454,0.0,0.0
108,0.0,0.0,0.0,022,71.66666666666667,147.33333333333334,13.666666666666666,0.0,0.0
109,0.0,0.0,0.0,008,25.142857142857142,120.57142857142857,17.142857142857142,0.0,0.0
110,0.0,0.0,0.0,033,134.75,70.25,7.25,0.0,0.0
111,0.0,0.0,0.0,027,120.16666666666667,65.5,2.8333333333333335,0.0,0.0
112,0.0,0.0,0.0,047,41.666666666666664,188.66666666666666,32.0,0.0,0.0
113,0.0,0.0,0.0,068,42.5,243.0,19.0,0.0,0.0
114,0.0,0.0,0.0,034,93.5,127.66666666666667,6.166666666666667,0.0,0.0
115,0.0,0.0,0.0,053,34.0,79.2,6.4,0.0,0.0
116,0.0,0.0,0.0,044,38.5,167.33333333333334,16.333333333333332,0.0,0.0
117,0.0,0.0,0.0,011,100.25,119.25,8.5,0.0,0.0
118,0.0,0.0,0.0,013,120.2,112.0,10.8,0.0,0.0
119,0.0,0.0,0.0,038,117.5,98.83333333333333,7.166666666666667,0.0,0.0
120,0.0,0.0,0.0,019,181.5,120.5,12.0,0.0,0.0
121,0.0,0.0,0.0,050,59.25,116.75,5.0,0.0,0.0
122,0.0,0.0,0.0,010,100.25,119.25,8.5,0.0,0.0
123,0.0,0.0,0.0,016,23.0,158.33333333333334,9.222222222222221,0.0,0.0
124,0.0,0.0,0.0,033,77.8,145.6,4.6,0.0,0.0
125,0.0,0.0,0.0,049,23.0,224.0,9.0,0.0,0.0
126,0.0,0.0,0.0,045,76.0,318.0,40.0,0.0,0.0
127,0.0,0.0,0.0,026,124.66666666666667,107.66666666666667,14.0,0.0,0.0
128,0.0,0.0,0.0,037,88.0,63.5,0.0,0.0,0.0
129,0.0,0.0,0.0,034,85.8,145.2,5.6,0.0,0.0
130,0.0,0.0,0.0,012,62.0,114.0,4.666666666666667,0.0,0.0
131,0.0,0.0,0.0,016,89.71428571428571,118.85714285714286,3.0,0.0,0.0
132,0.0,0.0,0.0,059,69.0909090909091,44.63636363636363,0.0,0.0,0.0
133,0.0,0.0,0.0,017,86.4,65.4,9.0,0.0,0.0
134,0.0,0.0,0.0,036,8.0,4.0,3.0,0.0,0.0
135,0.0,0.0,0.0,040,22.333333333333332,33.333333333333336,2.3333333333333335,0.0,0.0
136,0.0,0.0,0.0,033,114.0,100.0,6.0,0.0,0.0
137,0.0,0.0,0.0,002,74.8,42.0,3.2,0.0,0.0
138,0.0,0.0,0.0,048,100.33333333333333,158.33333333333334,7.333333333333333,0.0,0.0
139,0.0,0.0,0.0,039,14.625,114.875,23.875,0.0,0.0
140,0.0,0.0,0.0,022,69.2,112.26666666666667,7.066666666666666,0.0,0.0
141,0.0,0.0,0.0,046,38.5,167.33333333333334,16.333333333333332,0.0,0.0
142,0.0,0.0,0.0,032,54.0,141.57142857142858,29.0,0.0,0.0
143,0.0,0.0,0.0,001,90.0,175.33333333333334,11.0,0.0,0.0
144,0.0,0.0,0.0,031,100.4,123.8,10.0,0.0,0.0
145,0.0,0.0,0.0,058,67.77777777777777,58.333333333333336,3.7777777777777777,0.0,0.0
146,0.0,0.0,0.0,035,127.66666666666667,176.0,6.666666666666667,0.0,0.0
147,0.0,0.0,0.0,048,29.166666666666668,69.83333333333333,5.5,0.0,0.0
148,0.0,0.0,0.0,044,149.66666666666666,114.0,6.666666666666667,0.0,0.0
149,0.0,0.0,0.0,043,19.75,142.0,56.5,0.0,0.0
150,0.0,0.0,0.0,009,52.5,108.5,4.5,0.0,0.0
151,0.0,0.0,0.0,035,50.0,106.6,8.6,0.0,0.0
152,0.0,0.0,0.0,021,95.2,140.6,7.0,0.0,0.0
153,0.0,0.0,0.0,048,104.0,115.4,13.0,0.0,0.0
154,0.0,0.0,0.0,004,126.33333333333333,153.83333333333334,6.833333333333333,0.0,0.0
155,0.0,0.0,0.0,026,83.66666666666667,91.0,8.0,0.0,0.0
156,0.0,0.0,0.0,007,78.2,102.4,0.0,0.0,0.0
157,0.0,0.0,0.0,001,74.2,136.8,5.6,0.0,0.0
158,0.0,0.0,0.0,014,87.4,136.2,5.6,0.0,0.0
159,0.0,0.0,0.0,001,105.66666666666667,146.16666666666666,5.166666666666667,0.0,0.0
160,0.0,0.0,0.0,011,59.2,88.8,21.0,0.0,0.0
161,0.0,0.0,0.0,040,65.875,63.25,4.75,0.0,0.0
162,0.0,0.0,0.0,035,57.833333333333336,113.66666666666667,4.333333333333333,0.0,0.0
163,0.0,0.0,0.0,014,111.75,98.5,3.5,0.0,0.0
164,0.0,0.0,0.0,030,113.5,90.25,5.0,0.0,0.0
165,0.0,0.0,0.0,033,95.8,165.8,4.0,0.0,0.0
166,0.0,0.0,0.0,026,94.0,171.0,6.0,0.0,0.0
167,0.0,0.0,0.0,042,84.75,59.375,0.0,0.0,0.0
168,0.0,0.0,0.0,056,67.77777777777777,58.333333333333336,3.7777777777777777,0.0,0.0
169,0.0,0.0,0.0,003,21.9,129.2,26.8,0.0,0.0
170,0.0,0.0,0.0,052,49.57142857142857,56.857142857142854,6.0,0.0,0.0
171,0.0,0.0,0.0,067,75.75,108.5,4.25,0.0,0.0
172,0.0,0.0,0.0,044,143.25,96.25,1.75,0.0,0.0
173,0.0,0.0,0.0,076,59.22222222222222,50.111111111111114,1.5555555555555556,0.0,0.0
174,0.0,0.0,0.0,041,64.0,95.66666666666667,4.0,0.0,0.0
175,0.0,0.0,0.0,021,152.4,44.8,6.6,0.0,0.0
176,0.0,0.0,0.0,030,78.0,78.875,8.625,0.0,0.0
177,0.0,0.0,0.0,065,82.6,110.3,2.3,0.0,0.0
178,0.0,0.0,0.0,006,108.25,106.5,9.0,0.0,0.0
179,0.0,0.0,0.0,052,44.833333333333336,116.33333333333333,0.0,0.0,0.0
