parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Leduc-Beaumont,34,85.8,145.2,94.2437770341957,121.52338202889091,180.0437770341957,266.7233820288909,52.34
Peace River,12,62.0,114.0,31.945743351775832,126.4008566839193,93.94574335177583,240.4008566839193,34.0
Calgary-West,16,89.71428571428571,118.85714285714286,107.40920598729697,138.53604370549132,197.12349170158268,257.3931865626342,54.49
Calgary-North East,59,69.0909090909091,44.63636363636363,61.61403113016016,46.08118091585834,130.70494022106925,90.71754455222197,47.14
Edmonton-Beverly-Clareview,17,86.4,65.4,55.632928015564204,31.803428988326846,142.0329280155642,97.20342898832685,39.17
Fort McMurray-Wood Buffalo,36,8.0,4.0,1.7485131690739166,5.413763806287171,9.748513169073917,9.413763806287172,17.94
Peace River,40,22.333333333333332,33.333333333333336,10.10405140103516,39.979058837527525,32.43738473436849,73.31239217086086,31.15
Strathcona-Sherwood Park,33,114.0,100.0,53.410775143209335,63.31085490537307,167.41077514320932,163.31085490537308,31.9
Edmonton-City Centre,2,74.8,42.0,95.10469156066206,25.257940090274936,169.90469156066206,67.25794009027493,55.98
Red Deer-North,48,100.33333333333333,158.33333333333334,81.18930895997785,105.85237501731062,181.52264229331118,264.18570835064395,44.73
Rimbey-Rocky Mountain House-Sundre,39,14.625,114.875,15.61796801505174,67.53979303857007,30.24296801505174,182.41479303857005,51.64
Airdrie-Cochrane,22,69.2,112.26666666666667,65.20962180070461,97.80173117752737,134.4096218007046,210.06839784419404,48.52
Lacombe-Ponoka,46,38.5,167.33333333333334,52.23263113613566,117.4934472381322,90.73263113613567,284.8267805714655,57.57
Lacombe-Ponoka,32,54.0,141.57142857142858,49.62855201298073,111.63576351810504,103.62855201298072,253.20719208953363,47.89
Grande Prairie,1,90.0,175.33333333333334,53.62655236839214,78.35483752793347,143.62655236839214,253.68817086126683,37.34
Calgary-Lougheed,31,100.4,123.8,61.79854987720735,96.932218453982,162.19854987720737,220.732218453982,38.1
Calgary-Buffalo,58,67.77777777777777,58.333333333333336,77.64346702044428,38.77668923132747,145.42124479822206,97.1100225646608,53.39
