row_key,timestamp
stermere merging with Calgary|full_corpus,2026-05-10T09:00:29.266851
EBC-2025-2-0161|Airdrie 4-way split|full_corpus,2026-05-10T09:35:45.149627
EBC-2025-2-0161|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:36:25.718907
EBC-2025-2-0095|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:36:25.797625
EBC-2025-2-0162|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:37:06.341598
EBC-2025-2-0096|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:37:11.716964
"EBC-2025-2-0165|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:37:36.471669
EBC-2025-2-0112|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:37:40.034683
"EBC-2025-2-0179|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:38:03.454369
"EBC-2025-2-0112|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:38:08.225349
EBC-2025-2-0200|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:38:41.918762
EBC-2025-2-0113|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:38:44.485953
EBC-2025-2-0113|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:39:14.201590
EBC-2025-2-0208|Chestermere merging with Calgary|full_corpus,2026-05-10T09:39:18.202472
EBC-2025-2-0116|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:39:56.707387
EBC-2025-2-0209|Airdrie 4-way split|full_corpus,2026-05-10T09:40:02.507734
EBC-2025-2-0116|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:40:31.608981
EBC-2025-2-0209|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:40:35.373030
EBC-2025-2-0117|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:41:03.105818
EBC-2025-2-0209|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:41:03.305552
EBC-2025-2-0120|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:41:30.889194
EBC-2025-2-0217|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:41:31.075310
"EBC-2025-2-0220|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:41:58.773901
EBC-2025-2-0126|Airdrie 4-way split|full_corpus,2026-05-10T09:42:06.782760
EBC-2025-2-0230|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:42:27.073523
EBC-2025-2-0136|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:42:34.036339
EBC-2025-2-0236|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:43:00.905650
EBC-2025-2-0137|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:43:02.631536
EBC-2025-2-0142|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:43:32.785433
EBC-2025-2-0238|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:43:41.663628
"EBC-2025-2-0154|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:44:00.326595
EBC-2025-2-0239|Airdrie 4-way split|full_corpus,2026-05-10T09:44:11.786363
EBC-2025-2-0156|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:44:21.198490
EBC-2025-2-0251|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:44:37.353845
EBC-2025-2-0161|Airdrie 4-way split|full_corpus,2026-05-10T09:44:45.283077
EBC-2025-2-0252|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:45:06.964169
