plan_idx,n,eg,mm,ndp_seats,pop_min,pop_max,attempts,accepted
42,87,0.0273363787634781,-0.009073724430201047,30,7750.860878010878,12877.466666666667,1342,500
43,87,0.03707491490491216,-0.013186955684128643,29,7740.51515151515,12823.233333333328,1107,500
44,87,0.027921895423378806,-0.018201307365544872,30,7733.567857142859,12870.824999999999,1100,500
45,87,0.02499431212387515,-0.00955467664918741,30,7734.636363636362,12862.023809523813,1073,500
46,87,0.015806719277661935,-0.015507054296060419,31,7737.636363636362,12822.744688644689,1131,500
47,87,0.025611056338970654,-0.01538084360231523,30,7730.66904761905,12823.089393939395,1146,500
48,87,0.03808534936942645,-0.008579354575743381,29,7734.416666666667,12878.43961038961,1097,500
49,87,0.0392351925624884,-0.011475748480143266,29,7730.66517094017,12882.32142857143,1140,500
50,87,0.039596539986884484,-0.009220711189499353,29,7776.0797619047635,12872.610822510824,1213,500
51,87,0.0368473998599222,-0.011690545011132703,29,7733.660606060607,12872.952380952389,1154,500
52,87,0.03520906848202857,-0.01613936780845776,29,7796.331837606838,12864.146176046173,1132,500
53,87,0.03530052060795574,-0.00832650220910991,29,7737.513655788656,12875.346392496393,1119,500
54,87,0.03393319979835918,-0.007633479177319047,29,7734.902544677545,12875.827380952376,1081,500
55,87,0.03504177800777126,-0.016750045947661107,29,7759.445238095236,12843.290476190476,1130,500
56,87,0.03456778833070873,-0.023499998058373606,29,7731.483333333332,12862.729437229438,1148,500
57,87,0.03163016760274997,-0.019330136318825575,29,7739.010606060608,12852.116666666663,1111,500
58,87,0.027676536061134637,-0.025245089739104165,29,7736.492424242423,12807.422619047626,1139,500
59,87,0.028413729417695422,-0.026558314182716425,29,7751.492424242423,12814.708333333343,1112,500
60,87,0.03187329642533721,-0.022390826159852606,29,7730.34761904762,12865.250000000002,1118,500
61,87,0.033152510918491675,-0.019375955497836217,29,7736.823809523808,12819.961507936512,1112,500
62,87,0.03291272790538953,-0.016552971523428495,29,7730.96212121212,12872.386080586082,1223,500
63,87,0.03268409759057104,-0.016843192055323364,29,7771.969968919968,12731.686507936509,1098,500
64,87,0.029260219217437405,-0.01654562851528274,29,7751.477272727271,12864.645238095247,1177,500
65,87,0.02856875192384051,-0.018261240224695774,29,7732.363636363635,12875.592063492066,1094,500
66,87,0.030538318440763504,-0.020838377640662487,29,7729.868253968253,12875.704365079368,1249,500
67,87,0.026659409977649897,-0.025870146663871108,29,7732.729761904763,12844.318650793657,1143,500
68,87,0.026881348673498038,-0.01502408718611159,29,7767.71212121212,12882.116017316019,1097,500
69,87,0.02663710458108242,-0.009819357585374056,29,7730.35,12862.082683982684,1174,500
70,87,0.025479454499221548,-0.011681043910404254,29,7736.3080808080795,12848.266666666661,1088,500
71,87,0.024909551616918008,-0.013176035479865844,29,7736.3080808080795,12855.289285714283,1182,500
72,87,0.02728284581171553,-0.0027075596178517958,29,7736.3080808080795,12796.991269841268,1149,500
73,87,0.02792524123286372,0.0008891138679582022,29,7740.071969696969,12853.60367965368,1098,500
74,87,0.028050151453642702,-0.0029431540724899063,29,7736.3080808080795,12872.574314574314,1060,500
75,87,0.02938959051752981,-0.002984494527376369,29,7731.600000000001,12851.67728937729,1119,500
76,87,0.028693662144619245,-0.0025882097441441987,29,7732.841666666667,12879.486507936514,1145,500
77,87,0.019720201105455328,-0.010549480100020325,30,7730.203554778554,12772.597802197803,1061,500
78,87,0.027994387962223668,-0.008116967831461097,29,7733.6023809523795,12821.340476190475,1092,500
79,87,0.028960211633602503,-0.015574298772459694,29,7733.6023809523795,12880.517532467535,1086,500
80,87,0.028118182913173917,-0.015890638346839292,29,7759.138095238094,12824.808333333332,1078,500
81,87,0.02600809239787461,-0.016458448353592392,29,7732.749206349207,12859.454365079368,1034,500
82,87,0.02763973215679814,-0.009634116924507885,29,7732.749206349207,12874.900396825402,1092,500
83,87,0.02866243458942459,-0.014692759449133619,29,7738.007142857143,12879.467032967033,1072,500
84,87,0.02840815306855344,-0.012015423832320904,29,7738.950000000001,12859.54199134199,1069,500
85,87,0.029069508076784198,-0.01233512425528116,29,7745.450000000001,12796.46212121212,1088,500
86,87,0.028621169605774426,-0.014248483710535997,29,7751.397402597403,12875.10293040293,1105,500
87,87,0.027403294953181105,-0.009315485250622035,29,7730.568253968252,12857.428174603177,1088,500
88,87,0.027373182667814445,-0.011221733163652492,29,7745.752525252524,12797.33961038961,1072,500
89,87,0.026816663023451984,-0.010531124058557384,29,7745.752525252524,12879.242063492067,1095,500
90,87,0.02475229857111639,-0.010658484626115128,29,7745.752525252524,12855.804761904761,1116,500
91,87,0.02462738835033757,-0.021709385745924292,29,7745.752525252524,12858.191341991342,1191,500
92,87,0.02643077966283159,-0.01705365321961133,29,7740.607595182594,12828.65,1166,500
93,87,0.028486221956540003,-0.019687039910684212,29,7745.752525252524,12881.133333333335,1127,500
94,87,0.026908115149379137,-0.015575767745680702,29,7745.752525252524,12871.028138528138,1126,500
95,87,0.025526295832013525,-0.012882427076598146,29,7737.466666666667,12876.769444444448,1117,500
96,87,0.02839700037026952,-0.019601519723464023,29,7745.752525252524,12850.906926406922,1076,500
97,87,0.02611627357122782,-0.0197593944672107,29,7745.752525252524,12867.168831168827,1072,500
98,87,0.02953457559521948,-0.022464519587434617,29,7745.752525252524,12849.066666666668,1142,500
99,87,0.03144503281123835,-0.02241642883473599,29,7745.752525252524,12770.051190476199,1140,500
100,87,0.029843505337681507,-0.01920149491373474,29,7756.6618881118875,12727.45555555556,1001,500
101,87,0.029350556073536434,-0.016134636424826376,29,7777.404040404039,12881.20555555556,1109,500
