current_2019,proposed_2026,type,source
Lesser Slave Lake,Lesser Slave Lake,identity,gpkg_parents (identity)
Lethbridge-East,Lethbridge-Little Bow,rename,gpkg_parents (rename)
Lethbridge-West,Lethbridge-Fort MacLeod-Crowsnest Pass,split_primary,"reall_multi (split_primary_largest, opts=2)"
Livingstone-Macleod,Lethbridge-Fort MacLeod-Crowsnest Pass,split_primary,manual (manual: Livingstone-Macleod absorbed -> Lethbridge-Ft MacLeod)
Maskwacis-Wetaskiwin,Wetaskawin-Ponoka-Maskwacis,rename,gpkg_parents (rename)
Morinville-St. Albert,St. Albert-Sturgeon,rename,hybrid_xwalk (hybrid)
Olds-Didsbury-Three Hills,Olds-Three Hills-Didsbury,rename,gpkg_parents (rename)
Peace River,Peace River,identity,gpkg_parents (identity)
Red Deer-North,Red Deer-Innisfail,rename,gpkg_parents (rename)
Red Deer-South,Red Deer-Blackfalds,rename,gpkg_parents (rename)
Rimbey-Rocky Mountain House-Sundre,Rocky Mountain House-Banff Park,rename,reall_single (rename_or_split_primary)
Sherwood Park,Sherwood Park,identity,gpkg_parents (identity)
Spruce Grove-Stony Plain,Edmonton-Spruce Grove,rename,gpkg_parents (rename)
St. Albert,St. Albert,identity,gpkg_parents (identity)
Strathcona-Sherwood Park,Sherwood Park-Strathcona,rename,gpkg_parents (rename)
Taber-Warner,Lethbridge-Little Bow,rename,gpkg_parents (rename)
Vermilion-Lloydminster-Wainwright,Lloydminster-Wainwright,rename,gpkg_parents (rename)
West Yellowhead,West Yellowhead,identity,gpkg_parents (identity)
