turn_id,timestamp,rows_emitted
hansard_r1-02947,2026-05-10T05:27:52.829493,1
hansard_r1-02952,2026-05-10T05:28:26.616418,1
hansard_r1-02960,2026-05-10T05:28:47.674155,1
hansard_r1-02964,2026-05-10T05:29:08.617946,1
hansard_r1-02966,2026-05-10T05:29:45.346446,3
hansard_r1-02967,2026-05-10T05:30:22.547562,2
hansard_r1-02968,2026-05-10T05:30:53.205116,1
hansard_r1-02969,2026-05-10T05:31:16.894082,1
hansard_r1-02970,2026-05-10T05:32:01.930656,2
hansard_r1-02993,2026-05-10T05:32:24.059739,1
hansard_r1-02995,2026-05-10T05:32:47.707040,1
hansard_r1-02996,2026-05-10T05:33:08.548889,1
hansard_r1-02998,2026-05-10T05:33:37.689781,0
hansard_r1-03018,2026-05-10T05:34:17.342415,1
hansard_r1-03021,2026-05-10T05:34:38.533534,0
hansard_r1-03026,2026-05-10T05:35:31.792965,1
hansard_r1-03032,2026-05-10T05:36:10.128562,1
hansard_r1-03033,2026-05-10T05:36:32.315780,1
hansard_r1-03039,2026-05-10T05:36:53.881824,1
hansard_r1-03047,2026-05-10T05:37:22.236320,0
hansard_r1-03075,2026-05-10T05:37:51.366781,1
hansard_r1-03081,2026-05-10T05:38:07.750153,0
hansard_r1-03092,2026-05-10T05:38:33.410686,3
hansard_r1-03100,2026-05-10T05:38:57.013777,1
hansard_r2-00003,2026-05-10T05:39:44.170637,1
hansard_r2-00108,2026-05-10T05:40:12.711195,2
hansard_r2-00149,2026-05-10T05:41:00.893493,2
hansard_r2-00155,2026-05-10T05:41:35.672255,1
hansard_r2-00172,2026-05-10T05:42:01.386354,1
hansard_r2-00173,2026-05-10T05:42:21.659824,1
hansard_r2-00180,2026-05-10T05:42:57.585179,0
hansard_r2-00203,2026-05-10T05:43:25.648138,1
hansard_r2-00242,2026-05-10T05:43:51.766813,1
hansard_r2-00297,2026-05-10T05:44:15.056033,0
hansard_r2-00335,2026-05-10T05:44:35.090357,0
hansard_r2-00338,2026-05-10T05:45:01.392248,1
hansard_r2-00340,2026-05-10T05:45:19.153762,1
hansard_r2-00345,2026-05-10T05:45:50.214703,1
hansard_r2-00351,2026-05-10T05:46:08.506709,1
hansard_r2-00357,2026-05-10T05:46:38.137417,1
hansard_r2-00358,2026-05-10T05:47:01.144061,1
hansard_r2-00366,2026-05-10T05:47:20.377120,1
hansard_r2-00369,2026-05-10T05:47:42.134958,1
hansard_r2-00378,2026-05-10T05:48:04.842814,1
hansard_r2-00383,2026-05-10T05:48:28.348617,0
hansard_r2-00392,2026-05-10T05:48:51.378181,0
hansard_r2-00395,2026-05-10T05:49:15.770842,2
hansard_r2-00398,2026-05-10T05:50:03.823301,1
hansard_r2-00400,2026-05-10T05:50:29.549831,1
hansard_r2-00405,2026-05-10T05:50:57.960968,1
hansard_r2-00407,2026-05-10T05:51:26.525147,1
hansard_r2-00428,2026-05-10T05:52:05.726603,2
hansard_r2-00483,2026-05-10T05:53:17.761048,1
hansard_r2-00491,2026-05-10T05:53:40.967081,1
hansard_r2-00495,2026-05-10T05:54:13.033221,1
hansard_r2-00505,2026-05-10T05:54:45.729140,1
hansard_r2-00513,2026-05-10T05:55:41.572713,2
hansard_r2-00548,2026-05-10T05:56:24.237334,2
hansard_r2-00552,2026-05-10T05:56:48.006717,1
hansard_r2-00591,2026-05-10T05:57:18.697104,2
hansard_r2-00592,2026-05-10T05:57:40.236542,1
hansard_r2-00626,2026-05-10T05:58:08.093788,0
hansard_r2-00646,2026-05-10T05:58:29.228505,0
hansard_r2-00694,2026-05-10T05:59:09.257899,2
hansard_r2-00696,2026-05-10T05:59:48.959112,1
hansard_r2-00698,2026-05-10T06:00:23.977128,0
hansard_r2-00700,2026-05-10T06:00:59.924739,1
hansard_r2-00701,2026-05-10T06:01:33.863336,1
hansard_r2-00751,2026-05-10T06:02:56.127097,3
hansard_r2-00794,2026-05-10T06:03:20.577044,1
hansard_r2-00806,2026-05-10T06:04:15.706915,2
hansard_r2-00814,2026-05-10T06:04:42.755430,1
hansard_r2-00815,2026-05-10T06:05:17.209516,1
hansard_r2-00816,2026-05-10T06:05:39.652829,1
hansard_r2-00818,2026-05-10T06:06:09.657522,1
hansard_r2-00820,2026-05-10T06:06:54.029966,2
hansard_r2-00822,2026-05-10T06:07:16.554170,1
hansard_r2-00823,2026-05-10T06:07:40.356263,1
hansard_r2-00834,2026-05-10T06:08:02.776569,2
hansard_r2-00847,2026-05-10T06:08:40.457689,1
hansard_r2-00857,2026-05-10T06:09:13.495968,1
hansard_r2-00858,2026-05-10T06:10:02.448675,2
hansard_r2-00860,2026-05-10T06:10:41.818773,1
hansard_r2-00866,2026-05-10T06:11:19.077828,1
hansard_r2-00888,2026-05-10T06:12:22.502165,2
hansard_r2-00913,2026-05-10T06:12:42.268328,1
hansard_r2-00920,2026-05-10T06:13:34.568226,2
hansard_r2-00955,2026-05-10T06:13:52.639677,0
hansard_r2-00957,2026-05-10T06:14:19.514321,1
hansard_r2-00964,2026-05-10T06:14:44.319947,2
hansard_r2-00966,2026-05-10T06:15:08.751341,1
hansard_r2-00967,2026-05-10T06:15:36.293468,1
hansard_r2-00970,2026-05-10T06:16:02.808078,1
hansard_r2-00972,2026-05-10T06:16:44.226554,1
hansard_r2-00974,2026-05-10T06:17:21.524109,1
hansard_r2-00983,2026-05-10T06:17:53.492406,1
